Song,Measure,Week,Issue,File Path
Holding On,listeners,20241227,Missing HTML,html outputs/page_source_listeners_20241227_1711474240_by_city.html
Holding On,listeners,20241220,Missing HTML,html outputs/page_source_listeners_20241220_1711474240_by_city.html
Holding On,listeners,20241213,Missing HTML,html outputs/page_source_listeners_20241213_1711474240_by_city.html
Holding On,listeners,20241206,Missing HTML,html outputs/page_source_listeners_20241206_1711474240_by_city.html
Holding On,listeners,20241129,Missing HTML,html outputs/page_source_listeners_20241129_1711474240_by_city.html
Holding On,listeners,20241122,Missing HTML,html outputs/page_source_listeners_20241122_1711474240_by_city.html
Holding On,listeners,20241115,Missing HTML,html outputs/page_source_listeners_20241115_1711474240_by_city.html
Holding On,listeners,20241108,Missing HTML,html outputs/page_source_listeners_20241108_1711474240_by_city.html
Holding On,listeners,20241101,Missing HTML,html outputs/page_source_listeners_20241101_1711474240_by_city.html
Holding On,listeners,20241025,Missing HTML,html outputs/page_source_listeners_20241025_1711474240_by_city.html
Holding On,listeners,20241018,Missing HTML,html outputs/page_source_listeners_20241018_1711474240_by_city.html
Holding On,listeners,20241011,Missing HTML,html outputs/page_source_listeners_20241011_1711474240_by_city.html
Holding On,listeners,20241004,Missing HTML,html outputs/page_source_listeners_20241004_1711474240_by_city.html
Holding On,listeners,20240927,Missing HTML,html outputs/page_source_listeners_20240927_1711474240_by_city.html
Holding On,listeners,20240920,Missing HTML,html outputs/page_source_listeners_20240920_1711474240_by_city.html
Holding On,listeners,20240913,Missing HTML,html outputs/page_source_listeners_20240913_1711474240_by_city.html
Holding On,listeners,20240906,Missing HTML,html outputs/page_source_listeners_20240906_1711474240_by_city.html
Holding On,listeners,20240830,Missing HTML,html outputs/page_source_listeners_20240830_1711474240_by_city.html
Holding On,listeners,20240823,Missing HTML,html outputs/page_source_listeners_20240823_1711474240_by_city.html
Holding On,listeners,20240816,Missing HTML,html outputs/page_source_listeners_20240816_1711474240_by_city.html
Holding On,listeners,20240809,Missing HTML,html outputs/page_source_listeners_20240809_1711474240_by_city.html
Holding On,listeners,20240802,Missing HTML,html outputs/page_source_listeners_20240802_1711474240_by_city.html
Holding On,listeners,20240726,Missing HTML,html outputs/page_source_listeners_20240726_1711474240_by_city.html
Holding On,listeners,20240719,Missing HTML,html outputs/page_source_listeners_20240719_1711474240_by_city.html
Holding On,listeners,20240712,Missing HTML,html outputs/page_source_listeners_20240712_1711474240_by_city.html
Holding On,listeners,20240705,Missing HTML,html outputs/page_source_listeners_20240705_1711474240_by_city.html
Holding On,listeners,20240628,Missing HTML,html outputs/page_source_listeners_20240628_1711474240_by_city.html
Holding On,listeners,20240621,Missing HTML,html outputs/page_source_listeners_20240621_1711474240_by_city.html
Holding On,listeners,20240614,Missing HTML,html outputs/page_source_listeners_20240614_1711474240_by_city.html
Holding On,listeners,20240607,Missing HTML,html outputs/page_source_listeners_20240607_1711474240_by_city.html
Holding On,listeners,20240531,Missing HTML,html outputs/page_source_listeners_20240531_1711474240_by_city.html
Holding On,listeners,20240524,Missing HTML,html outputs/page_source_listeners_20240524_1711474240_by_city.html
Holding On,listeners,20240517,Missing HTML,html outputs/page_source_listeners_20240517_1711474240_by_city.html
Holding On,listeners,20240510,Missing HTML,html outputs/page_source_listeners_20240510_1711474240_by_city.html
Holding On,listeners,20240503,Missing HTML,html outputs/page_source_listeners_20240503_1711474240_by_city.html
Holding On,listeners,20240426,Missing HTML,html outputs/page_source_listeners_20240426_1711474240_by_city.html
Holding On,listeners,20240419,Missing HTML,html outputs/page_source_listeners_20240419_1711474240_by_city.html
Holding On,listeners,20240412,Missing HTML,html outputs/page_source_listeners_20240412_1711474240_by_city.html
Holding On,listeners,20240405,Missing HTML,html outputs/page_source_listeners_20240405_1711474240_by_city.html
