City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,10,12,+20%,20250117,Althea,1748029276
Anaheim,0,2,-,20250117,Althea,1748029276
Vancouver,0,2,-,20250117,Althea,1748029276
Edmonton,0,1,-,20250117,Althea,1748029276
Helsinki,0,1,-,20250117,Althea,1748029276
Ithaca,0,1,-,20250117,Althea,1748029276
Los Angeles,0,1,-,20250117,Althea,1748029276
Oakland,0,1,-,20250117,Althea,1748029276
Paris,1,1,0%,20250117,Althea,1748029276
Portland,0,1,-,20250117,Althea,1748029276
"Washington, D.C.",0,1,-,20250117,Althea,1748029276
Baltimore,1,0,-100%,20250117,Althea,1748029276
Cincinnati,3,0,-100%,20250117,Althea,1748029276
Denver,2,0,-100%,20250117,Althea,1748029276
London,1,0,-100%,20250117,Althea,1748029276
New York City,1,0,-100%,20250117,Althea,1748029276
San Antonio,1,0,-100%,20250117,Althea,1748029276
