City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,6,6,0%,20241206,Althea,1748029276,listeners
London,0,2,-,20241206,Althea,1748029276,listeners
Bangkok,0,1,-,20241206,Althea,1748029276,listeners
Glasgow,0,1,-,20241206,Althea,1748029276,listeners
Helsinki,1,1,0%,20241206,Althea,1748029276,listeners
Los Angeles,0,1,-,20241206,Althea,1748029276,listeners
Anaheim,1,0,-100%,20241206,Althea,1748029276,listeners
Eau Claire,1,0,-100%,20241206,Althea,1748029276,listeners
Honolulu,0,0,-,20241206,Althea,1748029276,listeners
Marseille,1,0,-100%,20241206,Althea,1748029276,listeners
Philadelphia,2,0,-100%,20241206,Althea,1748029276,listeners
