City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,0,18,-,20231110,Easy,1711474241
Denver,0,4,-,20231110,Easy,1711474241
Kingston Upon Hull,0,2,-,20231110,Easy,1711474241
New York City,0,2,-,20231110,Easy,1711474241
Albuquerque,0,1,-,20231110,Easy,1711474241
Boston,0,1,-,20231110,Easy,1711474241
Daytona Beach,0,1,-,20231110,Easy,1711474241
Gunnison,0,1,-,20231110,Easy,1711474241
Indianapolis,0,1,-,20231110,Easy,1711474241
Las Vegas,0,1,-,20231110,Easy,1711474241
London,0,1,-,20231110,Easy,1711474241
Raleigh,0,1,-,20231110,Easy,1711474241
Saint George's,0,1,-,20231110,Easy,1711474241
South Bend,0,1,-,20231110,Easy,1711474241
