City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,10,8,-20%,20250110,Althea,1748029276,listeners
Denver,1,2,+100%,20250110,Althea,1748029276,listeners
Baltimore,1,1,0%,20250110,Althea,1748029276,listeners
Cincinnati,1,1,0%,20250110,Althea,1748029276,listeners
London,0,1,-,20250110,Althea,1748029276,listeners
New York City,0,1,-,20250110,Althea,1748029276,listeners
Paris,1,1,0%,20250110,Althea,1748029276,listeners
San Antonio,0,1,-,20250110,Althea,1748029276,listeners
Austin,1,0,-100%,20250110,Althea,1748029276,listeners
Chicago,1,0,-100%,20250110,Althea,1748029276,listeners
Philadelphia,1,0,-100%,20250110,Althea,1748029276,listeners
Portland,1,0,-100%,20250110,Althea,1748029276,listeners
Spokane,1,0,-100%,20250110,Althea,1748029276,listeners
