City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,16,11,-31%,20231222,Holding On,1711474240
San Jose,3,4,+33%,20231222,Holding On,1711474240
Paris,0,2,-,20231222,Holding On,1711474240
Worcester,0,2,-,20231222,Holding On,1711474240
Chicago,4,1,-75%,20231222,Holding On,1711474240
Las Vegas,0,1,-,20231222,Holding On,1711474240
Montréal,0,1,-,20231222,Holding On,1711474240
Berlin,4,0,-100%,20231222,Holding On,1711474240
Los Angeles,4,0,-100%,20231222,Holding On,1711474240
Ottawa,1,0,-100%,20231222,Holding On,1711474240
