City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,11,4,-64%,20250328,Althea,1748029276,listeners
Cincinnati,1,1,0%,20250328,Althea,1748029276,listeners
Denver,1,1,0%,20250328,Althea,1748029276,listeners
Edinburgh,0,1,-,20250328,Althea,1748029276,listeners
Milan,0,1,-,20250328,Althea,1748029276,listeners
Calgary,1,0,-100%,20250328,Althea,1748029276,listeners
Daytona Beach,1,0,-100%,20250328,Althea,1748029276,listeners
Orlando,1,0,-100%,20250328,Althea,1748029276,listeners
Redding,1,0,-100%,20250328,Althea,1748029276,listeners
Rome,1,0,-100%,20250328,Althea,1748029276,listeners
Salt Lake City,1,0,-100%,20250328,Althea,1748029276,listeners
San Diego,1,0,-100%,20250328,Althea,1748029276,listeners
Wilmington,1,0,-100%,20250328,Althea,1748029276,listeners
