City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,4,6,+50%,20250404,Althea,1748029276,listeners
Austin,0,1,-,20250404,Althea,1748029276,listeners
Luziânia,0,1,-,20250404,Althea,1748029276,listeners
San Diego,0,1,-,20250404,Althea,1748029276,listeners
Stamford,0,1,-,20250404,Althea,1748029276,listeners
Tokyo,0,1,-,20250404,Althea,1748029276,listeners
Cincinnati,1,0,-100%,20250404,Althea,1748029276,listeners
Denver,1,0,-100%,20250404,Althea,1748029276,listeners
Edinburgh,1,0,-100%,20250404,Althea,1748029276,listeners
Milan,1,0,-100%,20250404,Althea,1748029276,listeners
