City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,9,8,-11%,20231124,What Home Is,1711474234
Tokyo,0,4,-,20231124,What Home Is,1711474234
Salt Lake City,0,2,-,20231124,What Home Is,1711474234
New York City,0,1,-,20231124,What Home Is,1711474234
Rochester,0,1,-,20231124,What Home Is,1711474234
Denver,2,0,-100%,20231124,What Home Is,1711474234
Hartford,1,0,-100%,20231124,What Home Is,1711474234
Nashville,1,0,-100%,20231124,What Home Is,1711474234
Sacramento,2,0,-100%,20231124,What Home Is,1711474234
St. Louis,2,0,-100%,20231124,What Home Is,1711474234
Toronto,1,0,-100%,20231124,What Home Is,1711474234
