City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,6,16,+167%,20250411,Althea,1748029276,listeners
Portland,0,2,-,20250411,Althea,1748029276,listeners
Atlanta,0,1,-,20250411,Althea,1748029276,listeners
Brasília,0,1,-,20250411,Althea,1748029276,listeners
Charlotte,0,1,-,20250411,Althea,1748029276,listeners
Detroit,0,1,-,20250411,Althea,1748029276,listeners
Houston,0,1,-,20250411,Althea,1748029276,listeners
Milwaukee,0,1,-,20250411,Althea,1748029276,listeners
Minneapolis,0,1,-,20250411,Althea,1748029276,listeners
Osaka,0,1,-,20250411,Althea,1748029276,listeners
Philadelphia,0,1,-,20250411,Althea,1748029276,listeners
Roanoke,0,1,-,20250411,Althea,1748029276,listeners
Salt Lake City,0,1,-,20250411,Althea,1748029276,listeners
San Francisco,0,1,-,20250411,Althea,1748029276,listeners
"Washington, D.C.",0,1,-,20250411,Althea,1748029276,listeners
Austin,1,0,-100%,20250411,Althea,1748029276,listeners
Luziânia,1,0,-100%,20250411,Althea,1748029276,listeners
San Diego,1,0,-100%,20250411,Althea,1748029276,listeners
Stamford,1,0,-100%,20250411,Althea,1748029276,listeners
Tokyo,1,0,-100%,20250411,Althea,1748029276,listeners
