City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,13,4,-69%,20231117,Easy,1711474241,listeners
Hartford,0,1,-,20231117,Easy,1711474241,listeners
Orlando,0,1,-,20231117,Easy,1711474241,listeners
St. Louis,0,1,-,20231117,Easy,1711474241,listeners
Toronto,0,1,-,20231117,Easy,1711474241,listeners
Albuquerque,1,0,-100%,20231117,Easy,1711474241,listeners
Boston,1,0,-100%,20231117,Easy,1711474241,listeners
Daytona Beach,1,0,-100%,20231117,Easy,1711474241,listeners
Denver,2,0,-100%,20231117,Easy,1711474241,listeners
Gunnison,1,0,-100%,20231117,Easy,1711474241,listeners
Indianapolis,1,0,-100%,20231117,Easy,1711474241,listeners
Kingston Upon Hull,1,0,-100%,20231117,Easy,1711474241,listeners
Las Vegas,1,0,-100%,20231117,Easy,1711474241,listeners
London,0,0,-100%,20231117,Easy,1711474241,listeners
New York City,1,0,-100%,20231117,Easy,1711474241,listeners
Raleigh,1,0,-100%,20231117,Easy,1711474241,listeners
Saint George's,1,0,-100%,20231117,Easy,1711474241,listeners
South Bend,1,0,-100%,20231117,Easy,1711474241,listeners
