City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,15,10,-33%,20240913,Althea,1748029276,listeners
Amsterdam,0,1,-,20240913,Althea,1748029276,listeners
Chicago,0,1,-,20240913,Althea,1748029276,listeners
Detroit,1,1,0%,20240913,Althea,1748029276,listeners
New York City,0,1,-,20240913,Althea,1748029276,listeners
Portland,1,1,0%,20240913,Althea,1748029276,listeners
Salt Lake City,0,1,-,20240913,Althea,1748029276,listeners
Seattle,1,1,0%,20240913,Althea,1748029276,listeners
St. Louis,0,1,-,20240913,Althea,1748029276,listeners
Stockton,0,1,-,20240913,Althea,1748029276,listeners
Toronto,0,1,-,20240913,Althea,1748029276,listeners
Austin,1,0,-100%,20240913,Althea,1748029276,listeners
Baltimore,1,0,-100%,20240913,Althea,1748029276,listeners
Berlin,1,0,-100%,20240913,Althea,1748029276,listeners
Boston,1,0,-100%,20240913,Althea,1748029276,listeners
Denver,1,0,-100%,20240913,Althea,1748029276,listeners
Des Moines,1,0,-100%,20240913,Althea,1748029276,listeners
Paris,1,0,-100%,20240913,Althea,1748029276,listeners
Roanoke,1,0,-100%,20240913,Althea,1748029276,listeners
San Jose,1,0,-100%,20240913,Althea,1748029276,listeners
Santa Rosa,0,0,-100%,20240913,Althea,1748029276,listeners
Syracuse,1,0,-100%,20240913,Althea,1748029276,listeners
São Paulo,1,0,-100%,20240913,Althea,1748029276,listeners
Tokyo,1,0,-100%,20240913,Althea,1748029276,listeners
