City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,23,12,-48%,20240927,Althea,1748029276
Adelaide,0,1,-,20240927,Althea,1748029276
Allentown,0,1,-,20240927,Althea,1748029276
Baton Rouge,0,1,-,20240927,Althea,1748029276
Birmingham,0,1,-,20240927,Althea,1748029276
Charlotte,0,1,-,20240927,Althea,1748029276
Cincinnati,0,1,-,20240927,Althea,1748029276
Dallas,0,1,-,20240927,Althea,1748029276
Houston,0,1,-,20240927,Althea,1748029276
Paris,1,1,0%,20240927,Althea,1748029276
Sydney,1,1,0%,20240927,Althea,1748029276
Tokyo,0,1,-,20240927,Althea,1748029276
Toronto,1,1,0%,20240927,Althea,1748029276
Baltimore,2,0,-100%,20240927,Althea,1748029276
Calgary,1,0,-100%,20240927,Althea,1748029276
Chicago,1,0,-100%,20240927,Althea,1748029276
Detroit,2,0,-100%,20240927,Althea,1748029276
Kansas City,1,0,-100%,20240927,Althea,1748029276
Montréal,1,0,-100%,20240927,Althea,1748029276
Nashville,1,0,-100%,20240927,Althea,1748029276
New York City,1,0,-100%,20240927,Althea,1748029276
Portland,1,0,-100%,20240927,Althea,1748029276
Salt Lake City,2,0,-100%,20240927,Althea,1748029276
San Diego,1,0,-100%,20240927,Althea,1748029276
Seoul,1,0,-100%,20240927,Althea,1748029276
Vancouver,2,0,-100%,20240927,Althea,1748029276
West Chester,1,0,-100%,20240927,Althea,1748029276
