City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,1,1,0%,20250418,Crash,1711474239,plays
Philadelphia,0,1,-,20250418,Crash,1711474239,plays
Salt Lake City,1,0,-100%,20250418,Crash,1711474239,plays
