City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,7,8,+14%,20231222,What Home Is,1711474234
Chicago,4,2,-50%,20231222,What Home Is,1711474234
Worcester,0,2,-,20231222,What Home Is,1711474234
Las Vegas,0,1,-,20231222,What Home Is,1711474234
Montréal,0,1,-,20231222,What Home Is,1711474234
Paris,0,1,-,20231222,What Home Is,1711474234
Rochester,0,1,-,20231222,What Home Is,1711474234
Berlin,1,0,-100%,20231222,What Home Is,1711474234
Los Angeles,1,0,-100%,20231222,What Home Is,1711474234
Ottawa,1,0,-100%,20231222,What Home Is,1711474234
