City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,3,7,+133%,20231222,All In,1711474237,listeners
Chicago,1,1,0%,20231222,All In,1711474237,listeners
Fredericton,0,1,-,20231222,All In,1711474237,listeners
Las Vegas,0,1,-,20231222,All In,1711474237,listeners
Montréal,0,1,-,20231222,All In,1711474237,listeners
Osaka,0,1,-,20231222,All In,1711474237,listeners
Paris,0,1,-,20231222,All In,1711474237,listeners
Worcester,0,1,-,20231222,All In,1711474237,listeners
Los Angeles,1,0,-100%,20231222,All In,1711474237,listeners
Ottawa,1,0,-100%,20231222,All In,1711474237,listeners
