City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,7,11,+57%,20241206,Althea,1748029276
London,0,5,-,20241206,Althea,1748029276
Glasgow,0,2,-,20241206,Althea,1748029276
Bangkok,0,1,-,20241206,Althea,1748029276
Helsinki,1,1,0%,20241206,Althea,1748029276
Honolulu,0,1,-,20241206,Althea,1748029276
Los Angeles,0,1,-,20241206,Althea,1748029276
Anaheim,1,0,-100%,20241206,Althea,1748029276
Eau Claire,1,0,-100%,20241206,Althea,1748029276
Marseille,2,0,-100%,20241206,Althea,1748029276
Philadelphia,2,0,-100%,20241206,Althea,1748029276
