City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,12,5,-58%,20231117,All In,1711474237,listeners
Hartford,0,1,-,20231117,All In,1711474237,listeners
Nashville,0,1,-,20231117,All In,1711474237,listeners
Sacramento,0,1,-,20231117,All In,1711474237,listeners
St. Louis,0,1,-,20231117,All In,1711474237,listeners
Toronto,0,1,-,20231117,All In,1711474237,listeners
Albuquerque,1,0,-100%,20231117,All In,1711474237,listeners
Daytona Beach,1,0,-100%,20231117,All In,1711474237,listeners
Denver,2,0,-100%,20231117,All In,1711474237,listeners
Gunnison,1,0,-100%,20231117,All In,1711474237,listeners
Houston,1,0,-100%,20231117,All In,1711474237,listeners
Kingston Upon Hull,1,0,-100%,20231117,All In,1711474237,listeners
Las Vegas,1,0,-100%,20231117,All In,1711474237,listeners
Leesburg,0,0,-100%,20231117,All In,1711474237,listeners
London,0,0,-100%,20231117,All In,1711474237,listeners
Mexico City,1,0,-100%,20231117,All In,1711474237,listeners
New York City,1,0,-100%,20231117,All In,1711474237,listeners
Orlando,0,0,-,20231117,All In,1711474237,listeners
Raleigh,1,0,-100%,20231117,All In,1711474237,listeners
Saint George's,1,0,-100%,20231117,All In,1711474237,listeners
