City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,812,504,-38%,20240705,Althea,1748029276,listeners
Toronto,21,19,-10%,20240705,Althea,1748029276,listeners
Chicago,24,18,-25%,20240705,Althea,1748029276,listeners
Denver,38,16,-58%,20240705,Althea,1748029276,listeners
Charlotte,14,15,+7%,20240705,Althea,1748029276,listeners
Minneapolis,11,12,+9%,20240705,Althea,1748029276,listeners
New York City,16,12,-25%,20240705,Althea,1748029276,listeners
Atlanta,25,11,-56%,20240705,Althea,1748029276,listeners
Nashville,10,11,+10%,20240705,Althea,1748029276,listeners
Seattle,25,11,-56%,20240705,Althea,1748029276,listeners
Dallas,12,10,-17%,20240705,Althea,1748029276,listeners
Birmingham,9,8,-11%,20240705,Althea,1748029276,listeners
Los Angeles,14,8,-43%,20240705,Althea,1748029276,listeners
Philadelphia,12,8,-33%,20240705,Althea,1748029276,listeners
Austin,5,7,+40%,20240705,Althea,1748029276,listeners
Indianapolis,2,7,+250%,20240705,Althea,1748029276,listeners
Vancouver,13,7,-46%,20240705,Althea,1748029276,listeners
London,6,6,0%,20240705,Althea,1748029276,listeners
Milwaukee,8,6,-25%,20240705,Althea,1748029276,listeners
Portland,15,6,-60%,20240705,Althea,1748029276,listeners
San Jose,14,6,-57%,20240705,Althea,1748029276,listeners
"Washington, D.C.",12,6,-50%,20240705,Althea,1748029276,listeners
Beijing,4,5,+25%,20240705,Althea,1748029276,listeners
Detroit,24,5,-79%,20240705,Althea,1748029276,listeners
Edmonton,4,5,+25%,20240705,Althea,1748029276,listeners
Miami,1,5,+400%,20240705,Althea,1748029276,listeners
Montréal,4,5,+25%,20240705,Althea,1748029276,listeners
San Antonio,5,5,0%,20240705,Althea,1748029276,listeners
Tampa,1,5,+400%,20240705,Althea,1748029276,listeners
Winnipeg,4,5,+25%,20240705,Althea,1748029276,listeners
Boston,12,4,-67%,20240705,Althea,1748029276,listeners
Cincinnati,8,4,-50%,20240705,Althea,1748029276,listeners
Melbourne,1,4,+300%,20240705,Althea,1748029276,listeners
Salt Lake City,16,4,-75%,20240705,Althea,1748029276,listeners
St. Louis,6,4,-33%,20240705,Althea,1748029276,listeners
Sydney,0,4,-,20240705,Althea,1748029276,listeners
Tokyo,4,4,0%,20240705,Althea,1748029276,listeners
