City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,13,16,+23%,20231124,Cycles,1711474233
Tokyo,0,9,-,20231124,Cycles,1711474233
Kansas City,0,2,-,20231124,Cycles,1711474233
New York City,0,2,-,20231124,Cycles,1711474233
Denver,2,1,-50%,20231124,Cycles,1711474233
Philadelphia,0,1,-,20231124,Cycles,1711474233
Stamford,0,1,-,20231124,Cycles,1711474233
Albuquerque,1,0,-100%,20231124,Cycles,1711474233
Dallas,1,0,-100%,20231124,Cycles,1711474233
Hartford,1,0,-100%,20231124,Cycles,1711474233
Miami,1,0,-100%,20231124,Cycles,1711474233
Nashville,1,0,-100%,20231124,Cycles,1711474233
Rochester,1,0,-100%,20231124,Cycles,1711474233
Sacramento,2,0,-100%,20231124,Cycles,1711474233
St. Louis,2,0,-100%,20231124,Cycles,1711474233
Toronto,1,0,-100%,20231124,Cycles,1711474233
