City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,20,9,-55%,20240927,Althea,1748029276,listeners
Adelaide,0,1,-,20240927,Althea,1748029276,listeners
Allentown,0,1,-,20240927,Althea,1748029276,listeners
Birmingham,0,1,-,20240927,Althea,1748029276,listeners
Charlotte,0,1,-,20240927,Althea,1748029276,listeners
Cincinnati,0,1,-,20240927,Althea,1748029276,listeners
Dallas,0,1,-,20240927,Althea,1748029276,listeners
Paris,1,1,0%,20240927,Althea,1748029276,listeners
Tokyo,0,1,-,20240927,Althea,1748029276,listeners
Toronto,1,1,0%,20240927,Althea,1748029276,listeners
Baltimore,2,0,-100%,20240927,Althea,1748029276,listeners
Baton Rouge,0,0,-,20240927,Althea,1748029276,listeners
Calgary,1,0,-100%,20240927,Althea,1748029276,listeners
Chicago,1,0,-100%,20240927,Althea,1748029276,listeners
Detroit,2,0,-100%,20240927,Althea,1748029276,listeners
Houston,0,0,-,20240927,Althea,1748029276,listeners
Kansas City,1,0,-100%,20240927,Althea,1748029276,listeners
Montréal,1,0,-100%,20240927,Althea,1748029276,listeners
Nashville,1,0,-100%,20240927,Althea,1748029276,listeners
New York City,1,0,-100%,20240927,Althea,1748029276,listeners
Portland,1,0,-100%,20240927,Althea,1748029276,listeners
Salt Lake City,1,0,-100%,20240927,Althea,1748029276,listeners
San Diego,1,0,-100%,20240927,Althea,1748029276,listeners
Seoul,1,0,-100%,20240927,Althea,1748029276,listeners
Sydney,1,0,-100%,20240927,Althea,1748029276,listeners
Vancouver,1,0,-100%,20240927,Althea,1748029276,listeners
West Chester,1,0,-100%,20240927,Althea,1748029276,listeners
