City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,40,39,-3%,20240816,Althea,1748029276
Charlotte,1,3,+200%,20240816,Althea,1748029276
Lausanne,0,3,-,20240816,Althea,1748029276
Los Angeles,0,3,-,20240816,Althea,1748029276
New York City,3,3,0%,20240816,Althea,1748029276
Budapest,0,2,-,20240816,Althea,1748029276
Portland,3,2,-33%,20240816,Althea,1748029276
San Jose,0,2,-,20240816,Althea,1748029276
Boise,0,1,-,20240816,Althea,1748029276
Brockton,0,1,-,20240816,Althea,1748029276
Chicago,2,1,-50%,20240816,Althea,1748029276
Columbus,0,1,-,20240816,Althea,1748029276
Dallas,0,1,-,20240816,Althea,1748029276
Denver,1,1,0%,20240816,Althea,1748029276
Detroit,4,1,-75%,20240816,Althea,1748029276
Dublin,1,1,0%,20240816,Althea,1748029276
Indianapolis,0,1,-,20240816,Althea,1748029276
Lake Charles,0,1,-,20240816,Althea,1748029276
Madison,0,1,-,20240816,Althea,1748029276
Manila,0,1,-,20240816,Althea,1748029276
Mesa,0,1,-,20240816,Althea,1748029276
Miami,1,1,0%,20240816,Althea,1748029276
Philadelphia,1,1,0%,20240816,Althea,1748029276
Phoenix,0,1,-,20240816,Althea,1748029276
Pittsburgh,2,1,-50%,20240816,Althea,1748029276
Sydney,2,1,-50%,20240816,Althea,1748029276
Syracuse,0,1,-,20240816,Althea,1748029276
"Washington, D.C.",1,1,0%,20240816,Althea,1748029276
Allentown,1,0,-100%,20240816,Althea,1748029276
Baldwin,1,0,-100%,20240816,Althea,1748029276
Calgary,1,0,-100%,20240816,Althea,1748029276
Cincinnati,1,0,-100%,20240816,Althea,1748029276
Guangzhou,1,0,-100%,20240816,Althea,1748029276
Hartford,1,0,-100%,20240816,Althea,1748029276
High Point,1,0,-100%,20240816,Althea,1748029276
Honolulu,1,0,-100%,20240816,Althea,1748029276
Kansas City,1,0,-100%,20240816,Althea,1748029276
London,1,0,-100%,20240816,Althea,1748029276
Nashville,1,0,-100%,20240816,Althea,1748029276
Paris,1,0,-100%,20240816,Althea,1748029276
Revelstoke,1,0,-100%,20240816,Althea,1748029276
Seattle,2,0,-100%,20240816,Althea,1748029276
St. Louis,1,0,-100%,20240816,Althea,1748029276
Taichung,1,0,-100%,20240816,Althea,1748029276
Wilmington,1,0,-100%,20240816,Althea,1748029276
