City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,36,35,-3%,20240802,Althea,1748029276,listeners
Albuquerque,1,2,+100%,20240802,Althea,1748029276,listeners
Detroit,0,2,-,20240802,Althea,1748029276,listeners
Milwaukee,1,2,+100%,20240802,Althea,1748029276,listeners
Seattle,1,2,+100%,20240802,Althea,1748029276,listeners
Anaheim,0,1,-,20240802,Althea,1748029276,listeners
Baltimore,1,1,0%,20240802,Althea,1748029276,listeners
Boise,1,1,0%,20240802,Althea,1748029276,listeners
Charlotte,1,1,0%,20240802,Althea,1748029276,listeners
Chicago,0,1,-,20240802,Althea,1748029276,listeners
Edinburgh,0,1,-,20240802,Althea,1748029276,listeners
Elgin,0,1,-,20240802,Althea,1748029276,listeners
Florence,0,1,-,20240802,Althea,1748029276,listeners
Glasgow,0,1,-,20240802,Althea,1748029276,listeners
Hartford,1,1,0%,20240802,Althea,1748029276,listeners
Lincoln City,0,1,-,20240802,Althea,1748029276,listeners
Los Angeles,0,1,-,20240802,Althea,1748029276,listeners
Melbourne,0,1,-,20240802,Althea,1748029276,listeners
Mesa,0,1,-,20240802,Althea,1748029276,listeners
Moscow,0,1,-,20240802,Althea,1748029276,listeners
Nashville,1,1,0%,20240802,Althea,1748029276,listeners
New York City,2,1,-50%,20240802,Althea,1748029276,listeners
Paris,0,1,-,20240802,Althea,1748029276,listeners
Perth,0,1,-,20240802,Althea,1748029276,listeners
Phoenix,0,1,-,20240802,Althea,1748029276,listeners
Portland,1,1,0%,20240802,Althea,1748029276,listeners
Red Deer,0,1,-,20240802,Althea,1748029276,listeners
San Diego,0,1,-,20240802,Althea,1748029276,listeners
San Jose,0,1,-,20240802,Althea,1748029276,listeners
Tokyo,0,1,-,20240802,Althea,1748029276,listeners
Atlanta,2,0,-100%,20240802,Althea,1748029276,listeners
Austin,1,0,-100%,20240802,Althea,1748029276,listeners
Baton Rouge,1,0,-100%,20240802,Althea,1748029276,listeners
Birmingham,1,0,-100%,20240802,Althea,1748029276,listeners
Dallas,1,0,-100%,20240802,Althea,1748029276,listeners
Denver,1,0,-100%,20240802,Althea,1748029276,listeners
Frankfurt Am Main,1,0,-100%,20240802,Althea,1748029276,listeners
Georgetown,1,0,-100%,20240802,Althea,1748029276,listeners
Hamilton,1,0,-100%,20240802,Althea,1748029276,listeners
Houston,1,0,-100%,20240802,Althea,1748029276,listeners
Las Vegas,1,0,-100%,20240802,Althea,1748029276,listeners
Lima,1,0,-100%,20240802,Althea,1748029276,listeners
Montréal,1,0,-100%,20240802,Althea,1748029276,listeners
New Haven,1,0,-100%,20240802,Althea,1748029276,listeners
Pittsburgh,1,0,-100%,20240802,Althea,1748029276,listeners
Providence,1,0,-100%,20240802,Althea,1748029276,listeners
Roanoke,1,0,-100%,20240802,Althea,1748029276,listeners
San Francisco,0,0,-,20240802,Althea,1748029276,listeners
Spokane,0,0,-,20240802,Althea,1748029276,listeners
St. Louis,1,0,-100%,20240802,Althea,1748029276,listeners
Syracuse,1,0,-100%,20240802,Althea,1748029276,listeners
Topeka,1,0,-100%,20240802,Althea,1748029276,listeners
Toronto,0,0,-100%,20240802,Althea,1748029276,listeners
Tulsa,1,0,-100%,20240802,Althea,1748029276,listeners
Vancouver,1,0,-100%,20240802,Althea,1748029276,listeners
"Washington, D.C.",1,0,-100%,20240802,Althea,1748029276,listeners
Wichita,1,0,-100%,20240802,Althea,1748029276,listeners
