City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,8,5,-38%,20231215,Holding On,1711474240,listeners
Los Angeles,0,2,-,20231215,Holding On,1711474240,listeners
Berlin,1,1,0%,20231215,Holding On,1711474240,listeners
Chicago,2,1,-50%,20231215,Holding On,1711474240,listeners
Ottawa,0,1,-,20231215,Holding On,1711474240,listeners
Castle Rock,1,0,-100%,20231215,Holding On,1711474240,listeners
Elkhart,1,0,-100%,20231215,Holding On,1711474240,listeners
Houston,1,0,-100%,20231215,Holding On,1711474240,listeners
San Jose,0,0,-,20231215,Holding On,1711474240,listeners
Topeka,1,0,-100%,20231215,Holding On,1711474240,listeners
Toronto,1,0,-100%,20231215,Holding On,1711474240,listeners
