City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,11,11,0%,20231124,Cycles,1711474233,listeners
Tokyo,0,7,-,20231124,Cycles,1711474233,listeners
Denver,2,1,-50%,20231124,Cycles,1711474233,listeners
Kansas City,0,1,-,20231124,Cycles,1711474233,listeners
Philadelphia,0,1,-,20231124,Cycles,1711474233,listeners
Stamford,0,1,-,20231124,Cycles,1711474233,listeners
Albuquerque,1,0,-100%,20231124,Cycles,1711474233,listeners
Dallas,1,0,-100%,20231124,Cycles,1711474233,listeners
Hartford,1,0,-100%,20231124,Cycles,1711474233,listeners
Miami,1,0,-100%,20231124,Cycles,1711474233,listeners
Nashville,1,0,-100%,20231124,Cycles,1711474233,listeners
New York City,0,0,-,20231124,Cycles,1711474233,listeners
Rochester,1,0,-100%,20231124,Cycles,1711474233,listeners
Sacramento,1,0,-100%,20231124,Cycles,1711474233,listeners
St. Louis,1,0,-100%,20231124,Cycles,1711474233,listeners
Toronto,1,0,-100%,20231124,Cycles,1711474233,listeners
