City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,14,77,+450%,20241101,Althea,1748029276,listeners
Charlotte,0,5,-,20241101,Althea,1748029276,listeners
Chicago,0,4,-,20241101,Althea,1748029276,listeners
Toronto,0,4,-,20241101,Althea,1748029276,listeners
New York City,0,3,-,20241101,Althea,1748029276,listeners
Austin,0,2,-,20241101,Althea,1748029276,listeners
Cape Town,0,2,-,20241101,Althea,1748029276,listeners
Cincinnati,0,2,-,20241101,Althea,1748029276,listeners
Denver,0,2,-,20241101,Althea,1748029276,listeners
Detroit,0,2,-,20241101,Althea,1748029276,listeners
Los Angeles,0,2,-,20241101,Althea,1748029276,listeners
Vancouver,0,2,-,20241101,Althea,1748029276,listeners
Atlanta,0,1,-,20241101,Althea,1748029276,listeners
Baltimore,2,1,-50%,20241101,Althea,1748029276,listeners
Birmingham,0,1,-,20241101,Althea,1748029276,listeners
Bismarck,0,1,-,20241101,Althea,1748029276,listeners
Boston,0,1,-,20241101,Althea,1748029276,listeners
Cleveland,0,1,-,20241101,Althea,1748029276,listeners
Columbus,0,1,-,20241101,Althea,1748029276,listeners
Dallas,2,1,-50%,20241101,Althea,1748029276,listeners
Durban,0,1,-,20241101,Althea,1748029276,listeners
Fond Du Lac,0,1,-,20241101,Althea,1748029276,listeners
Frankfurt Am Main,0,1,-,20241101,Althea,1748029276,listeners
Fresno,0,1,-,20241101,Althea,1748029276,listeners
Hartford,0,1,-,20241101,Althea,1748029276,listeners
Helena,0,1,-,20241101,Althea,1748029276,listeners
Helsinki,0,1,-,20241101,Althea,1748029276,listeners
Indianapolis,0,1,-,20241101,Althea,1748029276,listeners
Jacksonville,0,1,-,20241101,Althea,1748029276,listeners
Johnstown,0,1,-,20241101,Althea,1748029276,listeners
Kansas City,1,1,0%,20241101,Althea,1748029276,listeners
Knoxville,0,1,-,20241101,Althea,1748029276,listeners
Köln,0,1,-,20241101,Althea,1748029276,listeners
London,1,1,0%,20241101,Althea,1748029276,listeners
Louisville,0,1,-,20241101,Althea,1748029276,listeners
Matane,0,1,-,20241101,Althea,1748029276,listeners
Milwaukee,0,1,-,20241101,Althea,1748029276,listeners
Nashville,0,1,-,20241101,Althea,1748029276,listeners
Oklahoma City,0,1,-,20241101,Althea,1748029276,listeners
Paris,0,1,-,20241101,Althea,1748029276,listeners
Philadelphia,0,1,-,20241101,Althea,1748029276,listeners
Port Clinton,0,1,-,20241101,Althea,1748029276,listeners
Portland,0,1,-,20241101,Althea,1748029276,listeners
Riverside,0,1,-,20241101,Althea,1748029276,listeners
San Antonio,1,1,0%,20241101,Althea,1748029276,listeners
San Francisco,0,1,-,20241101,Althea,1748029276,listeners
San Jose,0,1,-,20241101,Althea,1748029276,listeners
Seattle,1,1,0%,20241101,Althea,1748029276,listeners
Stockholm,0,1,-,20241101,Althea,1748029276,listeners
Sydney,0,1,-,20241101,Althea,1748029276,listeners
Winkler,0,1,-,20241101,Althea,1748029276,listeners
Winter Haven,0,1,-,20241101,Althea,1748029276,listeners
Yaroslavl,0,1,-,20241101,Althea,1748029276,listeners
Anaheim,1,0,-100%,20241101,Althea,1748029276,listeners
Lake Jackson,1,0,-100%,20241101,Althea,1748029276,listeners
Moncton,1,0,-100%,20241101,Althea,1748029276,listeners
Omaha,1,0,-100%,20241101,Althea,1748029276,listeners
Tampa,1,0,-100%,20241101,Althea,1748029276,listeners
"Washington, D.C.",1,0,-100%,20241101,Althea,1748029276,listeners
