City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,276,306,+11%,20250328,That Thing,1807227251
Atlanta,5,14,+180%,20250328,That Thing,1807227251
Denver,20,10,-50%,20250328,That Thing,1807227251
Chicago,5,9,+80%,20250328,That Thing,1807227251
New York City,8,9,+13%,20250328,That Thing,1807227251
Cape Coral,0,7,-,20250328,That Thing,1807227251
Los Angeles,4,7,+75%,20250328,That Thing,1807227251
Charlotte,3,6,+100%,20250328,That Thing,1807227251
Orlando,3,6,+100%,20250328,That Thing,1807227251
Rochester,0,6,-,20250328,That Thing,1807227251
Johannesburg,0,5,-,20250328,That Thing,1807227251
London,3,5,+67%,20250328,That Thing,1807227251
Portland,3,5,+67%,20250328,That Thing,1807227251
San Jose,3,5,+67%,20250328,That Thing,1807227251
Boston,2,4,+100%,20250328,That Thing,1807227251
Roanoke,0,4,-,20250328,That Thing,1807227251
Seattle,9,4,-56%,20250328,That Thing,1807227251
Asheville,1,3,+200%,20250328,That Thing,1807227251
Barnstable,0,3,-,20250328,That Thing,1807227251
Billings,0,3,-,20250328,That Thing,1807227251
Charleston,0,3,-,20250328,That Thing,1807227251
Cleveland,1,3,+200%,20250328,That Thing,1807227251
Hartford,2,3,+50%,20250328,That Thing,1807227251
Houston,2,3,+50%,20250328,That Thing,1807227251
Indianapolis,1,3,+200%,20250328,That Thing,1807227251
Las Vegas,2,3,+50%,20250328,That Thing,1807227251
Mesa,0,3,-,20250328,That Thing,1807227251
Milwaukee,1,3,+200%,20250328,That Thing,1807227251
Minneapolis,5,3,-40%,20250328,That Thing,1807227251
Nashville,4,3,-25%,20250328,That Thing,1807227251
Oklahoma City,1,3,+200%,20250328,That Thing,1807227251
Québec,0,3,-,20250328,That Thing,1807227251
Raleigh,0,3,-,20250328,That Thing,1807227251
Sacramento,1,3,+200%,20250328,That Thing,1807227251
Salt Lake City,5,3,-40%,20250328,That Thing,1807227251
San Antonio,1,3,+200%,20250328,That Thing,1807227251
Sydney,0,3,-,20250328,That Thing,1807227251
Tacoma,1,3,+200%,20250328,That Thing,1807227251
Wichita,2,3,+50%,20250328,That Thing,1807227251
Allentown,0,2,-,20250328,That Thing,1807227251
Brisbane,0,2,-,20250328,That Thing,1807227251
Calgary,1,2,+100%,20250328,That Thing,1807227251
Christchurch,0,2,-,20250328,That Thing,1807227251
Cincinnati,1,2,+100%,20250328,That Thing,1807227251
Columbus,2,2,0%,20250328,That Thing,1807227251
Dallas,6,2,-67%,20250328,That Thing,1807227251
Detroit,3,2,-33%,20250328,That Thing,1807227251
Glasgow,0,2,-,20250328,That Thing,1807227251
Helsinki,0,2,-,20250328,That Thing,1807227251
Hendersonville,0,2,-,20250328,That Thing,1807227251
Kaohsiung,0,2,-,20250328,That Thing,1807227251
Kelowna,0,2,-,20250328,That Thing,1807227251
Lansing,1,2,+100%,20250328,That Thing,1807227251
Montréal,1,2,+100%,20250328,That Thing,1807227251
Osaka,2,2,0%,20250328,That Thing,1807227251
San Diego,2,2,0%,20250328,That Thing,1807227251
San Francisco,2,2,0%,20250328,That Thing,1807227251
Sarasota,4,2,-50%,20250328,That Thing,1807227251
Syracuse,1,2,+100%,20250328,That Thing,1807227251
Tokyo,1,2,+100%,20250328,That Thing,1807227251
Wilmington,1,2,+100%,20250328,That Thing,1807227251
Amsterdam,0,1,-,20250328,That Thing,1807227251
Auckland,0,1,-,20250328,That Thing,1807227251
Bakersfield,0,1,-,20250328,That Thing,1807227251
Baltimore,3,1,-67%,20250328,That Thing,1807227251
Bayonne,0,1,-,20250328,That Thing,1807227251
Bemidji,0,1,-,20250328,That Thing,1807227251
Boise,1,1,0%,20250328,That Thing,1807227251
Bordeaux,0,1,-,20250328,That Thing,1807227251
Boulder,0,1,-,20250328,That Thing,1807227251
Bratislava,0,1,-,20250328,That Thing,1807227251
Brockton,1,1,0%,20250328,That Thing,1807227251
Buffalo,2,1,-50%,20250328,That Thing,1807227251
Burlington,0,1,-,20250328,That Thing,1807227251
Cape Town,1,1,0%,20250328,That Thing,1807227251
Charleroi,0,1,-,20250328,That Thing,1807227251
Chowchilla,0,1,-,20250328,That Thing,1807227251
Circleville,0,1,-,20250328,That Thing,1807227251
Cookeville,1,1,0%,20250328,That Thing,1807227251
Crawfordsville,0,1,-,20250328,That Thing,1807227251
Dublin,0,1,-,20250328,That Thing,1807227251
Edmonton,2,1,-50%,20250328,That Thing,1807227251
Fort Wayne,0,1,-,20250328,That Thing,1807227251
Fort Worth,2,1,-50%,20250328,That Thing,1807227251
Frankfurt Am Main,0,1,-,20250328,That Thing,1807227251
Gastonia,0,1,-,20250328,That Thing,1807227251
Gordon,0,1,-,20250328,That Thing,1807227251
Jacksonville,0,1,-,20250328,That Thing,1807227251
Joliette,0,1,-,20250328,That Thing,1807227251
Kansas City,0,1,-,20250328,That Thing,1807227251
Knoxville,0,1,-,20250328,That Thing,1807227251
Lake Butler,0,1,-,20250328,That Thing,1807227251
Lausanne,2,1,-50%,20250328,That Thing,1807227251
Leesburg,0,1,-,20250328,That Thing,1807227251
Leuven,0,1,-,20250328,That Thing,1807227251
Lexington-Fayette,0,1,-,20250328,That Thing,1807227251
Little Rock,0,1,-,20250328,That Thing,1807227251
Los Mochis,0,1,-,20250328,That Thing,1807227251
Lubbock,2,1,-50%,20250328,That Thing,1807227251
Lynchburg,0,1,-,20250328,That Thing,1807227251
Melbourne,0,1,-,20250328,That Thing,1807227251
Memphis,0,1,-,20250328,That Thing,1807227251
Miami,1,1,0%,20250328,That Thing,1807227251
Minato,0,1,-,20250328,That Thing,1807227251
Montgomery,0,1,-,20250328,That Thing,1807227251
Newmarket,0,1,-,20250328,That Thing,1807227251
Oak Harbor,0,1,-,20250328,That Thing,1807227251
Oldenburg,0,1,-,20250328,That Thing,1807227251
Ottawa,1,1,0%,20250328,That Thing,1807227251
Paris,0,1,-,20250328,That Thing,1807227251
Philadelphia,3,1,-67%,20250328,That Thing,1807227251
Phoenix,1,1,0%,20250328,That Thing,1807227251
Pittsburgh,5,1,-80%,20250328,That Thing,1807227251
Port Saint Lucie,0,1,-,20250328,That Thing,1807227251
Poznań,0,1,-,20250328,That Thing,1807227251
Red Deer,0,1,-,20250328,That Thing,1807227251
Richmond,0,1,-,20250328,That Thing,1807227251
San Luis Obispo,0,1,-,20250328,That Thing,1807227251
Sheridan,0,1,-,20250328,That Thing,1807227251
Stuttgart,0,1,-,20250328,That Thing,1807227251
Taichung,0,1,-,20250328,That Thing,1807227251
Tampa,8,1,-88%,20250328,That Thing,1807227251
Thành Phố Uông Bí,0,1,-,20250328,That Thing,1807227251
Tijuana,0,1,-,20250328,That Thing,1807227251
Timmins,0,1,-,20250328,That Thing,1807227251
Toronto,5,1,-80%,20250328,That Thing,1807227251
Uvalde,0,1,-,20250328,That Thing,1807227251
Vancouver,6,1,-83%,20250328,That Thing,1807227251
Vienna,1,1,0%,20250328,That Thing,1807227251
"Washington, D.C.",3,1,-67%,20250328,That Thing,1807227251
Winkler,0,1,-,20250328,That Thing,1807227251
Zürich,0,1,-,20250328,That Thing,1807227251
Akron,1,0,-100%,20250328,That Thing,1807227251
Albuquerque,1,0,-100%,20250328,That Thing,1807227251
Anchorage,1,0,-100%,20250328,That Thing,1807227251
Ann Arbor,1,0,-100%,20250328,That Thing,1807227251
Ashland,1,0,-100%,20250328,That Thing,1807227251
Austin,3,0,-100%,20250328,That Thing,1807227251
Bay Harbor,1,0,-100%,20250328,That Thing,1807227251
Bellingham,2,0,-100%,20250328,That Thing,1807227251
Bend,1,0,-100%,20250328,That Thing,1807227251
Berlin,1,0,-100%,20250328,That Thing,1807227251
Bogotá,1,0,-100%,20250328,That Thing,1807227251
Burlington,2,0,-100%,20250328,That Thing,1807227251
Cadillac,1,0,-100%,20250328,That Thing,1807227251
Canton,1,0,-100%,20250328,That Thing,1807227251
Cardiff,1,0,-100%,20250328,That Thing,1807227251
Chon Buri,1,0,-100%,20250328,That Thing,1807227251
Columbia,1,0,-100%,20250328,That Thing,1807227251
Dayton,1,0,-100%,20250328,That Thing,1807227251
Daytona Beach,2,0,-100%,20250328,That Thing,1807227251
Düsseldorf,1,0,-100%,20250328,That Thing,1807227251
Eau Claire,1,0,-100%,20250328,That Thing,1807227251
Eugene,1,0,-100%,20250328,That Thing,1807227251
Fremont,1,0,-100%,20250328,That Thing,1807227251
Fukuoka,1,0,-100%,20250328,That Thing,1807227251
Glenwood Springs,1,0,-100%,20250328,That Thing,1807227251
Havelock,1,0,-100%,20250328,That Thing,1807227251
Helena,1,0,-100%,20250328,That Thing,1807227251
Johnstown,1,0,-100%,20250328,That Thing,1807227251
Kalispell,1,0,-100%,20250328,That Thing,1807227251
Lancaster,1,0,-100%,20250328,That Thing,1807227251
Lincoln,2,0,-100%,20250328,That Thing,1807227251
Linz,1,0,-100%,20250328,That Thing,1807227251
Lisbon,2,0,-100%,20250328,That Thing,1807227251
Madison,1,0,-100%,20250328,That Thing,1807227251
Monterrey,1,0,-100%,20250328,That Thing,1807227251
New Orleans,1,0,-100%,20250328,That Thing,1807227251
Newport News,1,0,-100%,20250328,That Thing,1807227251
Norfolk,1,0,-100%,20250328,That Thing,1807227251
Ogden,1,0,-100%,20250328,That Thing,1807227251
Olean,1,0,-100%,20250328,That Thing,1807227251
Oshawa,1,0,-100%,20250328,That Thing,1807227251
Penticton,2,0,-100%,20250328,That Thing,1807227251
Portland,2,0,-100%,20250328,That Thing,1807227251
Portsmouth,1,0,-100%,20250328,That Thing,1807227251
Prince George,1,0,-100%,20250328,That Thing,1807227251
Regina,1,0,-100%,20250328,That Thing,1807227251
Rock Hill,1,0,-100%,20250328,That Thing,1807227251
Rodez,1,0,-100%,20250328,That Thing,1807227251
Sandpoint,1,0,-100%,20250328,That Thing,1807227251
Santa Rosa,2,0,-100%,20250328,That Thing,1807227251
Sapporo,1,0,-100%,20250328,That Thing,1807227251
Saskatoon,2,0,-100%,20250328,That Thing,1807227251
St. Louis,3,0,-100%,20250328,That Thing,1807227251
Star Valley Ranch,1,0,-100%,20250328,That Thing,1807227251
Stonecrest,1,0,-100%,20250328,That Thing,1807227251
Taipei,1,0,-100%,20250328,That Thing,1807227251
Tallinn,1,0,-100%,20250328,That Thing,1807227251
The Woodlands,2,0,-100%,20250328,That Thing,1807227251
Traverse City,1,0,-100%,20250328,That Thing,1807227251
Tucson,1,0,-100%,20250328,That Thing,1807227251
Tulsa,4,0,-100%,20250328,That Thing,1807227251
Victoria,3,0,-100%,20250328,That Thing,1807227251
Watertown,1,0,-100%,20250328,That Thing,1807227251
Waukesha,1,0,-100%,20250328,That Thing,1807227251
Wausau,1,0,-100%,20250328,That Thing,1807227251
Wenatchee,1,0,-100%,20250328,That Thing,1807227251
Winston-Salem,1,0,-100%,20250328,That Thing,1807227251
Worcester,1,0,-100%,20250328,That Thing,1807227251
