City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,12,12,0%,20250124,Althea,1748029276
Cincinnati,0,2,-,20250124,Althea,1748029276
Baltimore,0,1,-,20250124,Althea,1748029276
Calgary,0,1,-,20250124,Althea,1748029276
Castle Rock,0,1,-,20250124,Althea,1748029276
Detroit,0,1,-,20250124,Althea,1748029276
Los Angeles,1,1,0%,20250124,Althea,1748029276
Philadelphia,0,1,-,20250124,Althea,1748029276
Sydney,0,1,-,20250124,Althea,1748029276
Vancouver,2,1,-50%,20250124,Althea,1748029276
Wichita,0,1,-,20250124,Althea,1748029276
Anaheim,2,0,-100%,20250124,Althea,1748029276
Edmonton,1,0,-100%,20250124,Althea,1748029276
Helsinki,1,0,-100%,20250124,Althea,1748029276
Ithaca,1,0,-100%,20250124,Althea,1748029276
Oakland,1,0,-100%,20250124,Althea,1748029276
Paris,1,0,-100%,20250124,Althea,1748029276
Portland,1,0,-100%,20250124,Althea,1748029276
"Washington, D.C.",1,0,-100%,20250124,Althea,1748029276
