City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,11,16,+45%,20231215,Holding On,1711474240
Berlin,4,4,0%,20231215,Holding On,1711474240
Chicago,2,4,+100%,20231215,Holding On,1711474240
Los Angeles,0,4,-,20231215,Holding On,1711474240
San Jose,0,3,-,20231215,Holding On,1711474240
Ottawa,0,1,-,20231215,Holding On,1711474240
Castle Rock,1,0,-100%,20231215,Holding On,1711474240
Elkhart,1,0,-100%,20231215,Holding On,1711474240
Houston,1,0,-100%,20231215,Holding On,1711474240
Topeka,1,0,-100%,20231215,Holding On,1711474240
Toronto,1,0,-100%,20231215,Holding On,1711474240
