City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,4,3,-25%,20231215,The Way That It Was,1711474242,listeners
Chicago,1,1,0%,20231215,The Way That It Was,1711474242,listeners
Los Angeles,0,1,-,20231215,The Way That It Was,1711474242,listeners
Ottawa,0,1,-,20231215,The Way That It Was,1711474242,listeners
Castle Rock,1,0,-100%,20231215,The Way That It Was,1711474242,listeners
Topeka,1,0,-100%,20231215,The Way That It Was,1711474242,listeners
Toronto,1,0,-100%,20231215,The Way That It Was,1711474242,listeners
