City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,0,25,-,20231110,Kid,1711474235
Denver,0,5,-,20231110,Kid,1711474235
Las Vegas,0,4,-,20231110,Kid,1711474235
Albuquerque,0,2,-,20231110,Kid,1711474235
Burlington,0,2,-,20231110,Kid,1711474235
New York City,0,2,-,20231110,Kid,1711474235
Daytona Beach,0,1,-,20231110,Kid,1711474235
Gunnison,0,1,-,20231110,Kid,1711474235
Hong Kong,0,1,-,20231110,Kid,1711474235
Houston,0,1,-,20231110,Kid,1711474235
Kingston Upon Hull,0,1,-,20231110,Kid,1711474235
London,0,1,-,20231110,Kid,1711474235
Mexico City,0,1,-,20231110,Kid,1711474235
Raleigh,0,1,-,20231110,Kid,1711474235
Saint George's,0,1,-,20231110,Kid,1711474235
Venice,0,1,-,20231110,Kid,1711474235
