City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,16,7,-56%,20231117,What Home Is,1711474234,listeners
Denver,3,2,-33%,20231117,What Home Is,1711474234,listeners
Hartford,0,1,-,20231117,What Home Is,1711474234,listeners
Nashville,0,1,-,20231117,What Home Is,1711474234,listeners
Sacramento,0,1,-,20231117,What Home Is,1711474234,listeners
St. Louis,0,1,-,20231117,What Home Is,1711474234,listeners
Toronto,0,1,-,20231117,What Home Is,1711474234,listeners
Albuquerque,1,0,-100%,20231117,What Home Is,1711474234,listeners
Burlington,0,0,-100%,20231117,What Home Is,1711474234,listeners
Daytona Beach,1,0,-100%,20231117,What Home Is,1711474234,listeners
Gunnison,1,0,-100%,20231117,What Home Is,1711474234,listeners
Hong Kong,1,0,-100%,20231117,What Home Is,1711474234,listeners
Houston,1,0,-100%,20231117,What Home Is,1711474234,listeners
Kingston Upon Hull,1,0,-100%,20231117,What Home Is,1711474234,listeners
Las Vegas,1,0,-100%,20231117,What Home Is,1711474234,listeners
Leesburg,0,0,-100%,20231117,What Home Is,1711474234,listeners
London,0,0,-100%,20231117,What Home Is,1711474234,listeners
Mexico City,1,0,-100%,20231117,What Home Is,1711474234,listeners
New York City,1,0,-100%,20231117,What Home Is,1711474234,listeners
Raleigh,1,0,-100%,20231117,What Home Is,1711474234,listeners
Rochester,1,0,-100%,20231117,What Home Is,1711474234,listeners
Saint George's,1,0,-100%,20231117,What Home Is,1711474234,listeners
Venice,1,0,-100%,20231117,What Home Is,1711474234,listeners
