City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,8,14,+75%,20241025,Althea,1748029276,listeners
Baltimore,0,2,-,20241025,Althea,1748029276,listeners
Dallas,0,2,-,20241025,Althea,1748029276,listeners
Anaheim,0,1,-,20241025,Althea,1748029276,listeners
Kansas City,0,1,-,20241025,Althea,1748029276,listeners
Lake Jackson,0,1,-,20241025,Althea,1748029276,listeners
London,1,1,0%,20241025,Althea,1748029276,listeners
Moncton,0,1,-,20241025,Althea,1748029276,listeners
Omaha,0,1,-,20241025,Althea,1748029276,listeners
San Antonio,0,1,-,20241025,Althea,1748029276,listeners
Seattle,0,1,-,20241025,Althea,1748029276,listeners
Tampa,0,1,-,20241025,Althea,1748029276,listeners
"Washington, D.C.",0,1,-,20241025,Althea,1748029276,listeners
Austin,1,0,-100%,20241025,Althea,1748029276,listeners
Baton Rouge,1,0,-100%,20241025,Althea,1748029276,listeners
Charlotte,1,0,-100%,20241025,Althea,1748029276,listeners
Cincinnati,1,0,-100%,20241025,Althea,1748029276,listeners
Minneapolis,1,0,-100%,20241025,Althea,1748029276,listeners
Portland,1,0,-100%,20241025,Althea,1748029276,listeners
Spokane,1,0,-100%,20241025,Althea,1748029276,listeners
