City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,0,19,-,20231110,Crash,1711474239
Denver,0,3,-,20231110,Crash,1711474239
Gunnison,0,2,-,20231110,Crash,1711474239
Kingston Upon Hull,0,2,-,20231110,Crash,1711474239
Las Vegas,0,2,-,20231110,Crash,1711474239
New York City,0,2,-,20231110,Crash,1711474239
Dallas,0,1,-,20231110,Crash,1711474239
Daytona Beach,0,1,-,20231110,Crash,1711474239
Houston,0,1,-,20231110,Crash,1711474239
Leesburg,0,1,-,20231110,Crash,1711474239
London,0,1,-,20231110,Crash,1711474239
Mexico City,0,1,-,20231110,Crash,1711474239
Raleigh,0,1,-,20231110,Crash,1711474239
Saint George's,0,1,-,20231110,Crash,1711474239
