City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,0,21,-,20231110,The Way That It Was,1711474242
Albuquerque,0,6,-,20231110,The Way That It Was,1711474242
Denver,0,5,-,20231110,The Way That It Was,1711474242
New York City,0,2,-,20231110,The Way That It Was,1711474242
Boston,0,1,-,20231110,The Way That It Was,1711474242
Daytona Beach,0,1,-,20231110,The Way That It Was,1711474242
Gunnison,0,1,-,20231110,The Way That It Was,1711474242
Kingston Upon Hull,0,1,-,20231110,The Way That It Was,1711474242
London,0,1,-,20231110,The Way That It Was,1711474242
Raleigh,0,1,-,20231110,The Way That It Was,1711474242
Saint George's,0,1,-,20231110,The Way That It Was,1711474242
South Bend,0,1,-,20231110,The Way That It Was,1711474242
