City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,12,6,-50%,20241129,Althea,1748029276,listeners
Philadelphia,0,2,-,20241129,Althea,1748029276,listeners
Anaheim,0,1,-,20241129,Althea,1748029276,listeners
Eau Claire,0,1,-,20241129,Althea,1748029276,listeners
Helsinki,0,1,-,20241129,Althea,1748029276,listeners
Marseille,0,1,-,20241129,Althea,1748029276,listeners
Austin,2,0,-100%,20241129,Althea,1748029276,listeners
Baltimore,1,0,-100%,20241129,Althea,1748029276,listeners
Detroit,1,0,-100%,20241129,Althea,1748029276,listeners
Frederick,1,0,-100%,20241129,Althea,1748029276,listeners
Honolulu,1,0,-100%,20241129,Althea,1748029276,listeners
Kansas City,1,0,-100%,20241129,Althea,1748029276,listeners
Paris,1,0,-100%,20241129,Althea,1748029276,listeners
Seattle,1,0,-100%,20241129,Althea,1748029276,listeners
Sydney,1,0,-100%,20241129,Althea,1748029276,listeners
"Washington, D.C.",1,0,-100%,20241129,Althea,1748029276,listeners
