City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,0,18,-,20231110,All In,1711474237
Denver,0,4,-,20231110,All In,1711474237
Las Vegas,0,2,-,20231110,All In,1711474237
New York City,0,2,-,20231110,All In,1711474237
Albuquerque,0,1,-,20231110,All In,1711474237
Daytona Beach,0,1,-,20231110,All In,1711474237
Gunnison,0,1,-,20231110,All In,1711474237
Houston,0,1,-,20231110,All In,1711474237
Kingston Upon Hull,0,1,-,20231110,All In,1711474237
Leesburg,0,1,-,20231110,All In,1711474237
London,0,1,-,20231110,All In,1711474237
Mexico City,0,1,-,20231110,All In,1711474237
Raleigh,0,1,-,20231110,All In,1711474237
Saint George's,0,1,-,20231110,All In,1711474237
