City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,46,40,-13%,20240809,Althea,1748029276
Detroit,4,4,0%,20240809,Althea,1748029276
New York City,1,3,+200%,20240809,Althea,1748029276
Portland,1,3,+200%,20240809,Althea,1748029276
Chicago,1,2,+100%,20240809,Althea,1748029276
Pittsburgh,2,2,0%,20240809,Althea,1748029276
Seattle,2,2,0%,20240809,Althea,1748029276
Sydney,0,2,-,20240809,Althea,1748029276
Allentown,0,1,-,20240809,Althea,1748029276
Baldwin,0,1,-,20240809,Althea,1748029276
Calgary,0,1,-,20240809,Althea,1748029276
Charlotte,1,1,0%,20240809,Althea,1748029276
Cincinnati,0,1,-,20240809,Althea,1748029276
Denver,1,1,0%,20240809,Althea,1748029276
Dublin,0,1,-,20240809,Althea,1748029276
Guangzhou,0,1,-,20240809,Althea,1748029276
Hartford,1,1,0%,20240809,Althea,1748029276
High Point,0,1,-,20240809,Althea,1748029276
Honolulu,0,1,-,20240809,Althea,1748029276
Kansas City,0,1,-,20240809,Althea,1748029276
London,0,1,-,20240809,Althea,1748029276
Miami,0,1,-,20240809,Althea,1748029276
Nashville,1,1,0%,20240809,Althea,1748029276
Paris,2,1,-50%,20240809,Althea,1748029276
Philadelphia,0,1,-,20240809,Althea,1748029276
Revelstoke,0,1,-,20240809,Althea,1748029276
St. Louis,0,1,-,20240809,Althea,1748029276
Taichung,0,1,-,20240809,Althea,1748029276
"Washington, D.C.",0,1,-,20240809,Althea,1748029276
Wilmington,0,1,-,20240809,Althea,1748029276
Albuquerque,2,0,-100%,20240809,Althea,1748029276
Anaheim,1,0,-100%,20240809,Althea,1748029276
Baltimore,1,0,-100%,20240809,Althea,1748029276
Boise,2,0,-100%,20240809,Althea,1748029276
Edinburgh,1,0,-100%,20240809,Althea,1748029276
Elgin,2,0,-100%,20240809,Althea,1748029276
Florence,1,0,-100%,20240809,Althea,1748029276
Glasgow,1,0,-100%,20240809,Althea,1748029276
Lincoln City,1,0,-100%,20240809,Althea,1748029276
Los Angeles,1,0,-100%,20240809,Althea,1748029276
Melbourne,1,0,-100%,20240809,Althea,1748029276
Mesa,1,0,-100%,20240809,Althea,1748029276
Milwaukee,2,0,-100%,20240809,Althea,1748029276
Moscow,1,0,-100%,20240809,Althea,1748029276
Perth,1,0,-100%,20240809,Althea,1748029276
Phoenix,1,0,-100%,20240809,Althea,1748029276
Red Deer,1,0,-100%,20240809,Althea,1748029276
San Diego,1,0,-100%,20240809,Althea,1748029276
San Francisco,1,0,-100%,20240809,Althea,1748029276
San Jose,1,0,-100%,20240809,Althea,1748029276
Spokane,1,0,-100%,20240809,Althea,1748029276
Tokyo,1,0,-100%,20240809,Althea,1748029276
