City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,9,9,0%,20241004,Althea,1748029276,listeners
Dallas,1,1,0%,20241004,Althea,1748029276,listeners
Detroit,0,1,-,20241004,Althea,1748029276,listeners
Minneapolis,0,1,-,20241004,Althea,1748029276,listeners
New York City,0,1,-,20241004,Althea,1748029276,listeners
Paris,1,1,0%,20241004,Althea,1748029276,listeners
Prague,0,1,-,20241004,Althea,1748029276,listeners
Seattle,0,1,-,20241004,Althea,1748029276,listeners
St. Louis,0,1,-,20241004,Althea,1748029276,listeners
Worcester,0,1,-,20241004,Althea,1748029276,listeners
Adelaide,1,0,-100%,20241004,Althea,1748029276,listeners
Allentown,1,0,-100%,20241004,Althea,1748029276,listeners
Baton Rouge,0,0,-100%,20241004,Althea,1748029276,listeners
Birmingham,1,0,-100%,20241004,Althea,1748029276,listeners
Charlotte,1,0,-100%,20241004,Althea,1748029276,listeners
Cincinnati,1,0,-100%,20241004,Althea,1748029276,listeners
Houston,0,0,-100%,20241004,Althea,1748029276,listeners
Sydney,0,0,-100%,20241004,Althea,1748029276,listeners
Tokyo,1,0,-100%,20241004,Althea,1748029276,listeners
Toronto,1,0,-100%,20241004,Althea,1748029276,listeners
