City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,5,7,+40%,20231124,All In,1711474237,listeners
Tokyo,0,4,-,20231124,All In,1711474237,listeners
Denver,0,1,-,20231124,All In,1711474237,listeners
New York City,0,1,-,20231124,All In,1711474237,listeners
St. Louis,1,1,0%,20231124,All In,1711474237,listeners
Hartford,1,0,-100%,20231124,All In,1711474237,listeners
Nashville,1,0,-100%,20231124,All In,1711474237,listeners
Orlando,0,0,-100%,20231124,All In,1711474237,listeners
Sacramento,1,0,-100%,20231124,All In,1711474237,listeners
Toronto,1,0,-100%,20231124,All In,1711474237,listeners
