City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,10,5,-50%,20231117,Slipping Away,1711474243,listeners
Hartford,0,1,-,20231117,Slipping Away,1711474243,listeners
Orlando,0,1,-,20231117,Slipping Away,1711474243,listeners
Sacramento,0,1,-,20231117,Slipping Away,1711474243,listeners
St. Louis,0,1,-,20231117,Slipping Away,1711474243,listeners
Toronto,0,1,-,20231117,Slipping Away,1711474243,listeners
Albuquerque,1,0,-100%,20231117,Slipping Away,1711474243,listeners
Daytona Beach,1,0,-100%,20231117,Slipping Away,1711474243,listeners
Denver,2,0,-100%,20231117,Slipping Away,1711474243,listeners
Gunnison,1,0,-100%,20231117,Slipping Away,1711474243,listeners
Houston,1,0,-100%,20231117,Slipping Away,1711474243,listeners
Kingston Upon Hull,1,0,-100%,20231117,Slipping Away,1711474243,listeners
Leesburg,0,0,-100%,20231117,Slipping Away,1711474243,listeners
London,0,0,-100%,20231117,Slipping Away,1711474243,listeners
New York City,1,0,-100%,20231117,Slipping Away,1711474243,listeners
Raleigh,1,0,-100%,20231117,Slipping Away,1711474243,listeners
Saint George's,1,0,-100%,20231117,Slipping Away,1711474243,listeners
