City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,14,9,-36%,20231222,Cycles,1711474233
Paris,0,2,-,20231222,Cycles,1711474233
Worcester,0,2,-,20231222,Cycles,1711474233
Chicago,5,1,-80%,20231222,Cycles,1711474233
Montréal,0,1,-,20231222,Cycles,1711474233
Orangeville,1,1,0%,20231222,Cycles,1711474233
Rochester,0,1,-,20231222,Cycles,1711474233
Tokyo,1,1,0%,20231222,Cycles,1711474233
Detroit,1,0,-100%,20231222,Cycles,1711474233
Los Angeles,2,0,-100%,20231222,Cycles,1711474233
Ottawa,1,0,-100%,20231222,Cycles,1711474233
San Jose,1,0,-100%,20231222,Cycles,1711474233
Toronto,1,0,-100%,20231222,Cycles,1711474233
