City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,180,76,-58%,20250418,That Thing,1807227251,plays
Tokyo,7,9,+29%,20250418,That Thing,1807227251,plays
Benoni,0,5,-,20250418,That Thing,1807227251,plays
Boston,6,4,-33%,20250418,That Thing,1807227251,plays
Tampa,0,4,-,20250418,That Thing,1807227251,plays
Chicago,9,3,-67%,20250418,That Thing,1807227251,plays
Atlanta,6,2,-67%,20250418,That Thing,1807227251,plays
Baton Rouge,2,2,0%,20250418,That Thing,1807227251,plays
Osaka,1,2,+100%,20250418,That Thing,1807227251,plays
Sacramento,1,2,+100%,20250418,That Thing,1807227251,plays
San Francisco,4,2,-50%,20250418,That Thing,1807227251,plays
Seattle,1,2,+100%,20250418,That Thing,1807227251,plays
The Villages,0,2,-,20250418,That Thing,1807227251,plays
Ann Arbor,0,1,-,20250418,That Thing,1807227251,plays
Auckland,0,1,-,20250418,That Thing,1807227251,plays
Austin,3,1,-67%,20250418,That Thing,1807227251,plays
Biel/Bienne,0,1,-,20250418,That Thing,1807227251,plays
Bismarck,0,1,-,20250418,That Thing,1807227251,plays
Blacksburg,0,1,-,20250418,That Thing,1807227251,plays
Bologna,0,1,-,20250418,That Thing,1807227251,plays
Bonanza,0,1,-,20250418,That Thing,1807227251,plays
Buffalo,0,1,-,20250418,That Thing,1807227251,plays
Charlotte,3,1,-67%,20250418,That Thing,1807227251,plays
Dallas,1,1,0%,20250418,That Thing,1807227251,plays
Denver,6,1,-83%,20250418,That Thing,1807227251,plays
Detroit,4,1,-75%,20250418,That Thing,1807227251,plays
Edmonton,1,1,0%,20250418,That Thing,1807227251,plays
Fort Lauderdale,0,1,-,20250418,That Thing,1807227251,plays
Halifax,0,1,-,20250418,That Thing,1807227251,plays
Hammond,0,1,-,20250418,That Thing,1807227251,plays
Hartford,5,1,-80%,20250418,That Thing,1807227251,plays
Houston,3,1,-67%,20250418,That Thing,1807227251,plays
Johnson City,0,1,-,20250418,That Thing,1807227251,plays
Knoxville,0,1,-,20250418,That Thing,1807227251,plays
Lewiston,0,1,-,20250418,That Thing,1807227251,plays
Los Angeles,2,1,-50%,20250418,That Thing,1807227251,plays
Montréal,0,1,-,20250418,That Thing,1807227251,plays
Orlando,2,1,-50%,20250418,That Thing,1807227251,plays
Queensbury,0,1,-,20250418,That Thing,1807227251,plays
Quimper,0,1,-,20250418,That Thing,1807227251,plays
Rexburg,0,1,-,20250418,That Thing,1807227251,plays
Rock Hill,0,1,-,20250418,That Thing,1807227251,plays
San Diego,0,1,-,20250418,That Thing,1807227251,plays
Santa Fe,0,1,-,20250418,That Thing,1807227251,plays
Sydney,0,1,-,20250418,That Thing,1807227251,plays
Tacoma,0,1,-,20250418,That Thing,1807227251,plays
Tauranga,0,1,-,20250418,That Thing,1807227251,plays
Tijuana,0,1,-,20250418,That Thing,1807227251,plays
Albuquerque,1,0,-100%,20250418,That Thing,1807227251,plays
Anaheim,1,0,-100%,20250418,That Thing,1807227251,plays
Brisbane,1,0,-100%,20250418,That Thing,1807227251,plays
Cape Coral,1,0,-100%,20250418,That Thing,1807227251,plays
Cape Town,2,0,-100%,20250418,That Thing,1807227251,plays
Carmel,1,0,-100%,20250418,That Thing,1807227251,plays
Christchurch,1,0,-100%,20250418,That Thing,1807227251,plays
Columbus,2,0,-100%,20250418,That Thing,1807227251,plays
Des Moines,2,0,-100%,20250418,That Thing,1807227251,plays
Dublin,1,0,-100%,20250418,That Thing,1807227251,plays
Durham,1,0,-100%,20250418,That Thing,1807227251,plays
Elche,1,0,-100%,20250418,That Thing,1807227251,plays
Fort Madison,1,0,-100%,20250418,That Thing,1807227251,plays
Frederick,1,0,-100%,20250418,That Thing,1807227251,plays
Glasgow,2,0,-100%,20250418,That Thing,1807227251,plays
Gordon,1,0,-100%,20250418,That Thing,1807227251,plays
Greenville,1,0,-100%,20250418,That Thing,1807227251,plays
Hanoi,2,0,-100%,20250418,That Thing,1807227251,plays
Heerenveen,1,0,-100%,20250418,That Thing,1807227251,plays
Indianapolis,2,0,-100%,20250418,That Thing,1807227251,plays
Jackson,2,0,-100%,20250418,That Thing,1807227251,plays
Kansas City,2,0,-100%,20250418,That Thing,1807227251,plays
Kyiv,2,0,-100%,20250418,That Thing,1807227251,plays
Lancaster,1,0,-100%,20250418,That Thing,1807227251,plays
Las Vegas,1,0,-100%,20250418,That Thing,1807227251,plays
Leeds,1,0,-100%,20250418,That Thing,1807227251,plays
London,4,0,-100%,20250418,That Thing,1807227251,plays
Loveland,1,0,-100%,20250418,That Thing,1807227251,plays
Malmö,1,0,-100%,20250418,That Thing,1807227251,plays
Manchester,3,0,-100%,20250418,That Thing,1807227251,plays
Marshalltown,1,0,-100%,20250418,That Thing,1807227251,plays
Melbourne,1,0,-100%,20250418,That Thing,1807227251,plays
Mesa,1,0,-100%,20250418,That Thing,1807227251,plays
Miami,2,0,-100%,20250418,That Thing,1807227251,plays
Milwaukee,1,0,-100%,20250418,That Thing,1807227251,plays
Minneapolis,1,0,-100%,20250418,That Thing,1807227251,plays
Missoula,1,0,-100%,20250418,That Thing,1807227251,plays
Mumbai,2,0,-100%,20250418,That Thing,1807227251,plays
Nashville,1,0,-100%,20250418,That Thing,1807227251,plays
New Haven,1,0,-100%,20250418,That Thing,1807227251,plays
