City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,16,6,-63%,20231201,Cycles,1711474233
Denver,1,2,+100%,20231201,Cycles,1711474233
Dallas,0,1,-,20231201,Cycles,1711474233
Hartford,0,1,-,20231201,Cycles,1711474233
Rochester,0,1,-,20231201,Cycles,1711474233
Stamford,1,1,0%,20231201,Cycles,1711474233
Kansas City,2,0,-100%,20231201,Cycles,1711474233
New York City,2,0,-100%,20231201,Cycles,1711474233
Philadelphia,1,0,-100%,20231201,Cycles,1711474233
Tokyo,9,0,-100%,20231201,Cycles,1711474233
