City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,15,19,+27%,20240906,Althea,1748029276
Seattle,0,3,-,20240906,Althea,1748029276
Portland,2,2,0%,20240906,Althea,1748029276
Austin,0,1,-,20240906,Althea,1748029276
Baltimore,0,1,-,20240906,Althea,1748029276
Berlin,0,1,-,20240906,Althea,1748029276
Boston,0,1,-,20240906,Althea,1748029276
Denver,0,1,-,20240906,Althea,1748029276
Des Moines,0,1,-,20240906,Althea,1748029276
Detroit,2,1,-50%,20240906,Althea,1748029276
Paris,0,1,-,20240906,Althea,1748029276
Roanoke,0,1,-,20240906,Althea,1748029276
San Jose,0,1,-,20240906,Althea,1748029276
Santa Rosa,0,1,-,20240906,Althea,1748029276
Syracuse,0,1,-,20240906,Althea,1748029276
São Paulo,0,1,-,20240906,Althea,1748029276
Tokyo,0,1,-,20240906,Althea,1748029276
Amsterdam,1,0,-100%,20240906,Althea,1748029276
Atlanta,1,0,-100%,20240906,Althea,1748029276
Charlotte,2,0,-100%,20240906,Althea,1748029276
Glasgow,1,0,-100%,20240906,Althea,1748029276
Montréal,1,0,-100%,20240906,Althea,1748029276
Oakland,1,0,-100%,20240906,Althea,1748029276
Salt Lake City,1,0,-100%,20240906,Althea,1748029276
Sydney,1,0,-100%,20240906,Althea,1748029276
Toronto,1,0,-100%,20240906,Althea,1748029276
Worcester,1,0,-100%,20240906,Althea,1748029276
