City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,11,5,-55%,20231117,The Way That It Was,1711474242,listeners
Hartford,0,1,-,20231117,The Way That It Was,1711474242,listeners
Orlando,0,1,-,20231117,The Way That It Was,1711474242,listeners
Sacramento,0,1,-,20231117,The Way That It Was,1711474242,listeners
St. Louis,0,1,-,20231117,The Way That It Was,1711474242,listeners
Toronto,0,1,-,20231117,The Way That It Was,1711474242,listeners
Albuquerque,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
Boston,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
Daytona Beach,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
Denver,2,0,-100%,20231117,The Way That It Was,1711474242,listeners
Gunnison,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
Kingston Upon Hull,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
London,0,0,-100%,20231117,The Way That It Was,1711474242,listeners
New York City,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
Raleigh,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
Saint George's,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
South Bend,1,0,-100%,20231117,The Way That It Was,1711474242,listeners
