City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,7,7,0%,20231215,What Home Is,1711474234
Chicago,2,4,+100%,20231215,What Home Is,1711474234
Berlin,0,1,-,20231215,What Home Is,1711474234
Los Angeles,0,1,-,20231215,What Home Is,1711474234
Ottawa,0,1,-,20231215,What Home Is,1711474234
Castle Rock,1,0,-100%,20231215,What Home Is,1711474234
Hartford,1,0,-100%,20231215,What Home Is,1711474234
Las Vegas,1,0,-100%,20231215,What Home Is,1711474234
Topeka,1,0,-100%,20231215,What Home Is,1711474234
Toronto,1,0,-100%,20231215,What Home Is,1711474234
