City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,10,12,+20%,20250131,Althea,1748029276,listeners
Minneapolis,0,2,-,20250131,Althea,1748029276,listeners
Baton Rouge,0,1,-,20250131,Althea,1748029276,listeners
Beijing,0,1,-,20250131,Althea,1748029276,listeners
Charlotte,0,1,-,20250131,Althea,1748029276,listeners
Cincinnati,1,1,0%,20250131,Althea,1748029276,listeners
Fort Worth,0,1,-,20250131,Althea,1748029276,listeners
Málaga,0,1,-,20250131,Althea,1748029276,listeners
San Francisco,0,1,-,20250131,Althea,1748029276,listeners
"Washington, D.C.",0,1,-,20250131,Althea,1748029276,listeners
Worcester,0,1,-,20250131,Althea,1748029276,listeners
Baltimore,1,0,-100%,20250131,Althea,1748029276,listeners
Calgary,1,0,-100%,20250131,Althea,1748029276,listeners
Castle Rock,1,0,-100%,20250131,Althea,1748029276,listeners
Detroit,1,0,-100%,20250131,Althea,1748029276,listeners
Los Angeles,1,0,-100%,20250131,Althea,1748029276,listeners
Philadelphia,1,0,-100%,20250131,Althea,1748029276,listeners
Sydney,1,0,-100%,20250131,Althea,1748029276,listeners
Vancouver,0,0,-100%,20250131,Althea,1748029276,listeners
Wichita,1,0,-100%,20250131,Althea,1748029276,listeners
