City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,35,34,-3%,20240809,Althea,1748029276,listeners
New York City,1,3,+200%,20240809,Althea,1748029276,listeners
Portland,1,3,+200%,20240809,Althea,1748029276,listeners
Chicago,1,2,+100%,20240809,Althea,1748029276,listeners
Seattle,2,2,0%,20240809,Althea,1748029276,listeners
Allentown,0,1,-,20240809,Althea,1748029276,listeners
Baldwin,0,1,-,20240809,Althea,1748029276,listeners
Calgary,0,1,-,20240809,Althea,1748029276,listeners
Charlotte,1,1,0%,20240809,Althea,1748029276,listeners
Denver,0,1,-,20240809,Althea,1748029276,listeners
Detroit,2,1,-50%,20240809,Althea,1748029276,listeners
Dublin,0,1,-,20240809,Althea,1748029276,listeners
Guangzhou,0,1,-,20240809,Althea,1748029276,listeners
Hartford,1,1,0%,20240809,Althea,1748029276,listeners
High Point,0,1,-,20240809,Althea,1748029276,listeners
Honolulu,0,1,-,20240809,Althea,1748029276,listeners
Kansas City,0,1,-,20240809,Althea,1748029276,listeners
London,0,1,-,20240809,Althea,1748029276,listeners
Miami,0,1,-,20240809,Althea,1748029276,listeners
Nashville,1,1,0%,20240809,Althea,1748029276,listeners
Paris,1,1,0%,20240809,Althea,1748029276,listeners
Philadelphia,0,1,-,20240809,Althea,1748029276,listeners
Pittsburgh,0,1,-,20240809,Althea,1748029276,listeners
Revelstoke,0,1,-,20240809,Althea,1748029276,listeners
St. Louis,0,1,-,20240809,Althea,1748029276,listeners
Sydney,0,1,-,20240809,Althea,1748029276,listeners
Taichung,0,1,-,20240809,Althea,1748029276,listeners
"Washington, D.C.",0,1,-,20240809,Althea,1748029276,listeners
Wilmington,0,1,-,20240809,Althea,1748029276,listeners
Albuquerque,2,0,-100%,20240809,Althea,1748029276,listeners
Anaheim,1,0,-100%,20240809,Althea,1748029276,listeners
Baltimore,1,0,-100%,20240809,Althea,1748029276,listeners
Boise,1,0,-100%,20240809,Althea,1748029276,listeners
Cincinnati,0,0,-,20240809,Althea,1748029276,listeners
Edinburgh,1,0,-100%,20240809,Althea,1748029276,listeners
Elgin,1,0,-100%,20240809,Althea,1748029276,listeners
Florence,1,0,-100%,20240809,Althea,1748029276,listeners
Glasgow,1,0,-100%,20240809,Althea,1748029276,listeners
Lincoln City,1,0,-100%,20240809,Althea,1748029276,listeners
Los Angeles,1,0,-100%,20240809,Althea,1748029276,listeners
Melbourne,1,0,-100%,20240809,Althea,1748029276,listeners
Mesa,1,0,-100%,20240809,Althea,1748029276,listeners
Milwaukee,2,0,-100%,20240809,Althea,1748029276,listeners
Moscow,1,0,-100%,20240809,Althea,1748029276,listeners
Perth,1,0,-100%,20240809,Althea,1748029276,listeners
Phoenix,1,0,-100%,20240809,Althea,1748029276,listeners
Red Deer,1,0,-100%,20240809,Althea,1748029276,listeners
San Diego,1,0,-100%,20240809,Althea,1748029276,listeners
San Francisco,0,0,-100%,20240809,Althea,1748029276,listeners
San Jose,1,0,-100%,20240809,Althea,1748029276,listeners
Spokane,0,0,-100%,20240809,Althea,1748029276,listeners
Tokyo,1,0,-100%,20240809,Althea,1748029276,listeners
