City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,20,8,-60%,20241018,Althea,1748029276
Austin,0,1,-,20241018,Althea,1748029276
Baton Rouge,0,1,-,20241018,Althea,1748029276
Charlotte,2,1,-50%,20241018,Althea,1748029276
Cincinnati,0,1,-,20241018,Althea,1748029276
London,0,1,-,20241018,Althea,1748029276
Minneapolis,0,1,-,20241018,Althea,1748029276
Portland,0,1,-,20241018,Althea,1748029276
Spokane,0,1,-,20241018,Althea,1748029276
Boston,3,0,-100%,20241018,Althea,1748029276
Calgary,1,0,-100%,20241018,Althea,1748029276
Denver,1,0,-100%,20241018,Althea,1748029276
Glasgow,1,0,-100%,20241018,Althea,1748029276
Indianapolis,2,0,-100%,20241018,Althea,1748029276
New York City,2,0,-100%,20241018,Althea,1748029276
Philadelphia,2,0,-100%,20241018,Althea,1748029276
Pittsburgh,1,0,-100%,20241018,Althea,1748029276
Seattle,1,0,-100%,20241018,Althea,1748029276
Springfield,1,0,-100%,20241018,Althea,1748029276
Sydney,2,0,-100%,20241018,Althea,1748029276
Worcester,1,0,-100%,20241018,Althea,1748029276
