City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,504,320,-37%,20240712,Althea,1748029276,listeners
Atlanta,11,11,0%,20240712,Althea,1748029276,listeners
Beijing,5,11,+120%,20240712,Althea,1748029276,listeners
London,6,11,+83%,20240712,Althea,1748029276,listeners
Seattle,11,10,-9%,20240712,Althea,1748029276,listeners
Toronto,19,10,-47%,20240712,Althea,1748029276,listeners
Dallas,10,8,-20%,20240712,Althea,1748029276,listeners
Denver,16,8,-50%,20240712,Althea,1748029276,listeners
Los Angeles,8,7,-13%,20240712,Althea,1748029276,listeners
New York City,12,7,-42%,20240712,Althea,1748029276,listeners
San Jose,6,7,+17%,20240712,Althea,1748029276,listeners
Chicago,18,6,-67%,20240712,Althea,1748029276,listeners
Detroit,5,6,+20%,20240712,Althea,1748029276,listeners
Frankfurt Am Main,3,6,+100%,20240712,Althea,1748029276,listeners
Paris,3,6,+100%,20240712,Althea,1748029276,listeners
Portland,6,6,0%,20240712,Althea,1748029276,listeners
Edmonton,5,5,0%,20240712,Althea,1748029276,listeners
Shanghai,2,5,+150%,20240712,Althea,1748029276,listeners
Tokyo,4,5,+25%,20240712,Althea,1748029276,listeners
Charlotte,15,4,-73%,20240712,Althea,1748029276,listeners
Milwaukee,6,4,-33%,20240712,Althea,1748029276,listeners
Philadelphia,8,4,-50%,20240712,Althea,1748029276,listeners
Vancouver,7,4,-43%,20240712,Althea,1748029276,listeners
Austin,7,3,-57%,20240712,Althea,1748029276,listeners
Baltimore,2,3,+50%,20240712,Althea,1748029276,listeners
Calgary,2,3,+50%,20240712,Althea,1748029276,listeners
Columbus,2,3,+50%,20240712,Althea,1748029276,listeners
Guangzhou,1,3,+200%,20240712,Althea,1748029276,listeners
Minneapolis,12,3,-75%,20240712,Althea,1748029276,listeners
Montréal,5,3,-40%,20240712,Althea,1748029276,listeners
Orlando,3,3,0%,20240712,Althea,1748029276,listeners
Salt Lake City,4,3,-25%,20240712,Althea,1748029276,listeners
San Diego,3,3,0%,20240712,Althea,1748029276,listeners
Tacoma,1,3,+200%,20240712,Althea,1748029276,listeners
Wilmington,3,3,0%,20240712,Althea,1748029276,listeners
Adelaide,1,2,+100%,20240712,Althea,1748029276,listeners
Anaheim,1,2,+100%,20240712,Althea,1748029276,listeners
