Song,Measure,Period,Period Type,Issue,File Path
That Thing,listeners,20240301,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240301.csv
That Thing,listeners,20240401,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240401.csv
That Thing,listeners,20240501,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240501.csv
That Thing,listeners,20240601,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240601.csv
That Thing,listeners,20240701,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240701.csv
That Thing,listeners,20240801,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240801.csv
That Thing,listeners,20240901,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240901.csv
That Thing,listeners,20241001,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20241001.csv
That Thing,listeners,20241101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20241101.csv
That Thing,listeners,20241201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20241201.csv
That Thing,listeners,20250101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20250101.csv
That Thing,listeners,20250201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20250201.csv
The Way That It Was,listeners,20240419,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240419.csv
The Way That It Was,listeners,20240426,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240426.csv
The Way That It Was,listeners,20240503,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240503.csv
The Way That It Was,listeners,20240510,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240510.csv
The Way That It Was,listeners,20240531,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240531.csv
The Way That It Was,listeners,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240607.csv
The Way That It Was,listeners,20240712,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240712.csv
The Way That It Was,listeners,20240719,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240719.csv
The Way That It Was,listeners,20240726,weekly,CSV has no data rows,parsed csvs/parsed_weekly_listeners_by_city_1711474242_20240726.csv
The Way That It Was,listeners,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20241018.csv
The Way That It Was,listeners,20241108,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20241108.csv
The Way That It Was,listeners,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20241206.csv
The Way That It Was,listeners,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20241213.csv
The Way That It Was,listeners,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20241220.csv
The Way That It Was,listeners,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20241227.csv
The Way That It Was,listeners,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20250124.csv
The Way That It Was,listeners,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20250131.csv
The Way That It Was,listeners,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474242_20250221.csv
The Way That It Was,plays,20240419,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20240419.csv
The Way That It Was,plays,20240426,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20240426.csv
The Way That It Was,plays,20240503,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20240503.csv
The Way That It Was,plays,20240510,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20240510.csv
The Way That It Was,plays,20240531,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20240531.csv
The Way That It Was,plays,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20240607.csv
The Way That It Was,plays,20240712,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20240712.csv
The Way That It Was,plays,20240719,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474242_20240719.csv
The Way That It Was,plays,20240726,weekly,CSV has no data rows,parsed csvs/parsed_weekly_plays_by_city_1711474242_20240726.csv
The Way That It Was,plays,20241108,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20241108.csv
The Way That It Was,plays,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20241206.csv
The Way That It Was,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20241213.csv
The Way That It Was,plays,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20241220.csv
The Way That It Was,plays,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20241227.csv
The Way That It Was,plays,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20250124.csv
The Way That It Was,plays,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20250131.csv
The Way That It Was,plays,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474242_20250221.csv
What Home Is,listeners,20231110,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20231110.csv
What Home Is,listeners,20231208,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20231208.csv
What Home Is,listeners,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20241206.csv
What Home Is,listeners,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20241213.csv
What Home Is,listeners,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20241220.csv
What Home Is,listeners,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20241227.csv
What Home Is,listeners,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20250124.csv
What Home Is,listeners,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474234_20250221.csv
What Home Is,plays,20241206,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474234_20241206.csv
What Home Is,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474234_20241213.csv
What Home Is,plays,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474234_20241220.csv
What Home Is,plays,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474234_20241227.csv
What Home Is,plays,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474234_20250124.csv
What Home Is,plays,20250221,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474234_20250221.csv
