Song,URL,song_id
Breaking Me Down,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1807227249&groupBy=city&annotationsVisible=true,1807227249
That Thing,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&rows=4180439&rows=5419384&rows=4887398&rows=5128581&rows=4149962&measure=plays&zoom=d&filter=song~1807227251&groupBy=city&annotationsVisible=true,1807227251
Althea,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1748029276&groupBy=city&annotationsVisible=true,1748029276
What Home Is,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474234&groupBy=city&annotationsVisible=true,1711474234
The Way That It Was,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474242&groupBy=city&annotationsVisible=true,1711474242
Slipping Away,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474243&groupBy=city&annotationsVisible=true,1711474243
Crash,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474239&groupBy=city&annotationsVisible=true,1711474239
Kid,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474235&groupBy=city&annotationsVisible=true,1711474235
All In,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474237&groupBy=city&annotationsVisible=true,1711474237
Easy,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474241&groupBy=city&annotationsVisible=true,1711474241
Cycles,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474233&groupBy=city&annotationsVisible=true,1711474233
Holding On,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w~20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song~1711474240&groupBy=city&annotationsVisible=true,1711474240
