City,Previous Period,Current Period,% Change,Date,Group By
All Cities,310,314,+1%,20250328,city
Atlanta,5,14,+180%,20250328,city
Denver,21,12,-43%,20250328,city
Chicago,5,9,+80%,20250328,city
New York City,8,9,+13%,20250328,city
Cape Coral,0,7,-,20250328,city
Los Angeles,4,7,+75%,20250328,city
Charlotte,3,6,+100%,20250328,city
Orlando,4,6,+50%,20250328,city
Portland,5,6,+20%,20250328,city
Rochester,0,6,-,20250328,city
Cincinnati,3,5,+67%,20250328,city
Johannesburg,0,5,-,20250328,city
London,3,5,+67%,20250328,city
San Jose,3,5,+67%,20250328,city
Boston,2,4,+100%,20250328,city
Roanoke,0,4,-,20250328,city
Seattle,9,4,-56%,20250328,city
Asheville,1,3,+200%,20250328,city
Barnstable,0,3,-,20250328,city
Billings,0,3,-,20250328,city
Charleston,0,3,-,20250328,city
Cleveland,1,3,+200%,20250328,city
Hartford,2,3,+50%,20250328,city
Houston,2,3,+50%,20250328,city
Indianapolis,1,3,+200%,20250328,city
Las Vegas,2,3,+50%,20250328,city
Mesa,0,3,-,20250328,city
Milwaukee,1,3,+200%,20250328,city
Minneapolis,5,3,-40%,20250328,city
Nashville,4,3,-25%,20250328,city
Oklahoma City,1,3,+200%,20250328,city
Québec,0,3,-,20250328,city
Raleigh,0,3,-,20250328,city
Sacramento,1,3,+200%,20250328,city
Salt Lake City,6,3,-50%,20250328,city
San Antonio,1,3,+200%,20250328,city
Sydney,0,3,-,20250328,city
Tacoma,1,3,+200%,20250328,city
Wichita,2,3,+50%,20250328,city
Allentown,0,2,-,20250328,city
Brisbane,0,2,-,20250328,city
Calgary,2,2,0%,20250328,city
Christchurch,0,2,-,20250328,city
Columbus,2,2,0%,20250328,city
Dallas,6,2,-67%,20250328,city
Detroit,3,2,-33%,20250328,city
Glasgow,0,2,-,20250328,city
Helsinki,0,2,-,20250328,city
Hendersonville,0,2,-,20250328,city
Kaohsiung,0,2,-,20250328,city
Kelowna,0,2,-,20250328,city
Lansing,1,2,+100%,20250328,city
Montréal,1,2,+100%,20250328,city
Osaka,2,2,0%,20250328,city
San Diego,3,2,-33%,20250328,city
San Francisco,2,2,0%,20250328,city
Sarasota,4,2,-50%,20250328,city
