City,Previous Period,Current Period,% Change,Date,Group By
All Cities,49,310,+533%,20250321,city
Denver,0,21,-,20250321,city
Daytona Beach,0,13,-,20250321,city
Lisbon,29,10,-66%,20250321,city
Seattle,0,9,-,20250321,city
New York City,4,8,+100%,20250321,city
Tampa,0,8,-,20250321,city
Dallas,0,6,-,20250321,city
Salt Lake City,0,6,-,20250321,city
Vancouver,0,6,-,20250321,city
Atlanta,0,5,-,20250321,city
Austin,0,5,-,20250321,city
Chicago,0,5,-,20250321,city
Minneapolis,0,5,-,20250321,city
Pittsburgh,0,5,-,20250321,city
Portland,3,5,+67%,20250321,city
Toronto,0,5,-,20250321,city
Los Angeles,1,4,+300%,20250321,city
Nashville,0,4,-,20250321,city
Orlando,0,4,-,20250321,city
Sarasota,0,4,-,20250321,city
Tulsa,0,4,-,20250321,city
Baltimore,0,3,-,20250321,city
Charlotte,0,3,-,20250321,city
Cincinnati,0,3,-,20250321,city
Detroit,1,3,+200%,20250321,city
London,0,3,-,20250321,city
Philadelphia,0,3,-,20250321,city
San Diego,0,3,-,20250321,city
San Jose,0,3,-,20250321,city
St. Louis,0,3,-,20250321,city
Victoria,0,3,-,20250321,city
"Washington, D.C.",0,3,-,20250321,city
Bellingham,0,2,-,20250321,city
Boston,0,2,-,20250321,city
Buffalo,0,2,-,20250321,city
Burlington,0,2,-,20250321,city
Calgary,0,2,-,20250321,city
Columbus,0,2,-,20250321,city
Edmonton,0,2,-,20250321,city
Fort Worth,1,2,+100%,20250321,city
Hartford,0,2,-,20250321,city
Houston,0,2,-,20250321,city
Las Vegas,1,2,+100%,20250321,city
Lausanne,0,2,-,20250321,city
Lincoln,0,2,-,20250321,city
Lubbock,0,2,-,20250321,city
Osaka,0,2,-,20250321,city
Penticton,0,2,-,20250321,city
Portland,0,2,-,20250321,city
San Francisco,1,2,+100%,20250321,city
Santa Rosa,0,2,-,20250321,city
Saskatoon,0,2,-,20250321,city
The Woodlands,0,2,-,20250321,city
Wichita,0,2,-,20250321,city
Akron,0,1,-,20250321,city
Albuquerque,0,1,-,20250321,city
Anchorage,0,1,-,20250321,city
Ann Arbor,0,1,-,20250321,city
Asheville,0,1,-,20250321,city
Ashland,0,1,-,20250321,city
Bay Harbor,0,1,-,20250321,city
Bend,1,1,0%,20250321,city
Berlin,0,1,-,20250321,city
Bogotá,0,1,-,20250321,city
Boise,0,1,-,20250321,city
Brockton,0,1,-,20250321,city
Cadillac,0,1,-,20250321,city
Canton,0,1,-,20250321,city
Cape Town,0,1,-,20250321,city
Cardiff,0,1,-,20250321,city
Chon Buri,0,1,-,20250321,city
Cleveland,0,1,-,20250321,city
Columbia,0,1,-,20250321,city
Cookeville,0,1,-,20250321,city
Dayton,0,1,-,20250321,city
Düsseldorf,0,1,-,20250321,city
Eau Claire,0,1,-,20250321,city
Eugene,0,1,-,20250321,city
Fremont,0,1,-,20250321,city
Fukuoka,0,1,-,20250321,city
Glenwood Springs,0,1,-,20250321,city
Havelock,0,1,-,20250321,city
Helena,0,1,-,20250321,city
Indianapolis,0,1,-,20250321,city
Johnstown,0,1,-,20250321,city
Kalispell,0,1,-,20250321,city
Lancaster,0,1,-,20250321,city
Lansing,0,1,-,20250321,city
Linz,0,1,-,20250321,city
Madison,0,1,-,20250321,city
Miami,0,1,-,20250321,city
Milwaukee,0,1,-,20250321,city
Monterrey,0,1,-,20250321,city
Montréal,0,1,-,20250321,city
New Orleans,0,1,-,20250321,city
Newport News,0,1,-,20250321,city
Norfolk,0,1,-,20250321,city
Ogden,0,1,-,20250321,city
Oklahoma City,0,1,-,20250321,city
Olean,0,1,-,20250321,city
Oshawa,0,1,-,20250321,city
Ottawa,0,1,-,20250321,city
Phoenix,0,1,-,20250321,city
Portsmouth,0,1,-,20250321,city
Prince George,0,1,-,20250321,city
Redding,0,1,-,20250321,city
Regina,0,1,-,20250321,city
Rock Hill,0,1,-,20250321,city
Rodez,0,1,-,20250321,city
Rome,0,1,-,20250321,city
Sacramento,0,1,-,20250321,city
San Antonio,0,1,-,20250321,city
Sandpoint,0,1,-,20250321,city
Sapporo,0,1,-,20250321,city
Star Valley Ranch,0,1,-,20250321,city
Stonecrest,0,1,-,20250321,city
Syracuse,0,1,-,20250321,city
Tacoma,0,1,-,20250321,city
Taipei,0,1,-,20250321,city
Tallinn,0,1,-,20250321,city
Tokyo,0,1,-,20250321,city
Traverse City,0,1,-,20250321,city
Tucson,0,1,-,20250321,city
Vienna,0,1,-,20250321,city
Watertown,0,1,-,20250321,city
Waukesha,0,1,-,20250321,city
Wausau,0,1,-,20250321,city
Wenatchee,0,1,-,20250321,city
Wilmington,0,1,-,20250321,city
Wilmington,0,1,-,20250321,city
Winston-Salem,0,1,-,20250321,city
Worcester,0,1,-,20250321,city
Milan,1,0,-100%,20250321,city
North Myrtle Beach,1,0,-100%,20250321,city
Omaha,1,0,-100%,20250321,city
Porto,2,0,-100%,20250321,city
Spokane,1,0,-100%,20250321,city
São Paulo,1,0,-100%,20250321,city
