City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,12,6,-50%,20250328,Althea,1748029276
Cincinnati,2,3,+50%,20250328,Althea,1748029276
Denver,1,1,0%,20250328,Althea,1748029276
Edinburgh,0,1,-,20250328,Althea,1748029276
Milan,0,1,-,20250328,Althea,1748029276
Calgary,1,0,-100%,20250328,Althea,1748029276
Daytona Beach,1,0,-100%,20250328,Althea,1748029276
Orlando,1,0,-100%,20250328,Althea,1748029276
Redding,1,0,-100%,20250328,Althea,1748029276
Rome,1,0,-100%,20250328,Althea,1748029276
Salt Lake City,1,0,-100%,20250328,Althea,1748029276
San Diego,1,0,-100%,20250328,Althea,1748029276
Wilmington,1,0,-100%,20250328,Althea,1748029276
