City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,13,12,-8%,20250321,Althea,1748029276
Cincinnati,0,2,-,20250321,Althea,1748029276
Calgary,0,1,-,20250321,Althea,1748029276
Daytona Beach,0,1,-,20250321,Althea,1748029276
Denver,0,1,-,20250321,Althea,1748029276
Orlando,0,1,-,20250321,Althea,1748029276
Redding,0,1,-,20250321,Althea,1748029276
Rome,0,1,-,20250321,Althea,1748029276
Salt Lake City,0,1,-,20250321,Althea,1748029276
San Diego,0,1,-,20250321,Althea,1748029276
Wilmington,0,1,-,20250321,Althea,1748029276
Bend,1,0,-100%,20250321,Althea,1748029276
Detroit,1,0,-100%,20250321,Althea,1748029276
Fort Worth,1,0,-100%,20250321,Althea,1748029276
Los Angeles,1,0,-100%,20250321,Althea,1748029276
Milan,1,0,-100%,20250321,Althea,1748029276
New York City,1,0,-100%,20250321,Althea,1748029276
North Myrtle Beach,1,0,-100%,20250321,Althea,1748029276
Omaha,1,0,-100%,20250321,Althea,1748029276
Portland,3,0,-100%,20250321,Althea,1748029276
San Francisco,1,0,-100%,20250321,Althea,1748029276
Spokane,1,0,-100%,20250321,Althea,1748029276
