City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,0,276,-,20250321,That Thing,1807227251
Denver,0,20,-,20250321,That Thing,1807227251
Seattle,0,9,-,20250321,That Thing,1807227251
New York City,0,8,-,20250321,That Thing,1807227251
Tampa,0,8,-,20250321,That Thing,1807227251
Dallas,0,6,-,20250321,That Thing,1807227251
Vancouver,0,6,-,20250321,That Thing,1807227251
Atlanta,0,5,-,20250321,That Thing,1807227251
Chicago,0,5,-,20250321,That Thing,1807227251
Minneapolis,0,5,-,20250321,That Thing,1807227251
Pittsburgh,0,5,-,20250321,That Thing,1807227251
Salt Lake City,0,5,-,20250321,That Thing,1807227251
Toronto,0,5,-,20250321,That Thing,1807227251
Los Angeles,0,4,-,20250321,That Thing,1807227251
Nashville,0,4,-,20250321,That Thing,1807227251
Sarasota,0,4,-,20250321,That Thing,1807227251
Tulsa,0,4,-,20250321,That Thing,1807227251
Austin,0,3,-,20250321,That Thing,1807227251
Baltimore,0,3,-,20250321,That Thing,1807227251
Charlotte,0,3,-,20250321,That Thing,1807227251
Detroit,0,3,-,20250321,That Thing,1807227251
London,0,3,-,20250321,That Thing,1807227251
Orlando,0,3,-,20250321,That Thing,1807227251
Philadelphia,0,3,-,20250321,That Thing,1807227251
Portland,0,3,-,20250321,That Thing,1807227251
San Jose,0,3,-,20250321,That Thing,1807227251
St. Louis,0,3,-,20250321,That Thing,1807227251
Victoria,0,3,-,20250321,That Thing,1807227251
"Washington, D.C.",0,3,-,20250321,That Thing,1807227251
Bellingham,0,2,-,20250321,That Thing,1807227251
Boston,0,2,-,20250321,That Thing,1807227251
Buffalo,0,2,-,20250321,That Thing,1807227251
Burlington,0,2,-,20250321,That Thing,1807227251
Columbus,0,2,-,20250321,That Thing,1807227251
Daytona Beach,0,2,-,20250321,That Thing,1807227251
Edmonton,0,2,-,20250321,That Thing,1807227251
Fort Worth,0,2,-,20250321,That Thing,1807227251
Hartford,0,2,-,20250321,That Thing,1807227251
Houston,0,2,-,20250321,That Thing,1807227251
Las Vegas,0,2,-,20250321,That Thing,1807227251
Lausanne,0,2,-,20250321,That Thing,1807227251
Lincoln,0,2,-,20250321,That Thing,1807227251
Lisbon,0,2,-,20250321,That Thing,1807227251
Lubbock,0,2,-,20250321,That Thing,1807227251
Osaka,0,2,-,20250321,That Thing,1807227251
Penticton,0,2,-,20250321,That Thing,1807227251
Portland,0,2,-,20250321,That Thing,1807227251
San Diego,0,2,-,20250321,That Thing,1807227251
San Francisco,0,2,-,20250321,That Thing,1807227251
Santa Rosa,0,2,-,20250321,That Thing,1807227251
Saskatoon,0,2,-,20250321,That Thing,1807227251
The Woodlands,0,2,-,20250321,That Thing,1807227251
Wichita,0,2,-,20250321,That Thing,1807227251
Akron,0,1,-,20250321,That Thing,1807227251
Albuquerque,0,1,-,20250321,That Thing,1807227251
Anchorage,0,1,-,20250321,That Thing,1807227251
Ann Arbor,0,1,-,20250321,That Thing,1807227251
Asheville,0,1,-,20250321,That Thing,1807227251
Ashland,0,1,-,20250321,That Thing,1807227251
Bay Harbor,0,1,-,20250321,That Thing,1807227251
Bend,0,1,-,20250321,That Thing,1807227251
Berlin,0,1,-,20250321,That Thing,1807227251
Bogotá,0,1,-,20250321,That Thing,1807227251
Boise,0,1,-,20250321,That Thing,1807227251
Brockton,0,1,-,20250321,That Thing,1807227251
Cadillac,0,1,-,20250321,That Thing,1807227251
Calgary,0,1,-,20250321,That Thing,1807227251
Canton,0,1,-,20250321,That Thing,1807227251
Cape Town,0,1,-,20250321,That Thing,1807227251
Cardiff,0,1,-,20250321,That Thing,1807227251
Chon Buri,0,1,-,20250321,That Thing,1807227251
Cincinnati,0,1,-,20250321,That Thing,1807227251
Cleveland,0,1,-,20250321,That Thing,1807227251
Columbia,0,1,-,20250321,That Thing,1807227251
Cookeville,0,1,-,20250321,That Thing,1807227251
Dayton,0,1,-,20250321,That Thing,1807227251
Düsseldorf,0,1,-,20250321,That Thing,1807227251
Eau Claire,0,1,-,20250321,That Thing,1807227251
Eugene,0,1,-,20250321,That Thing,1807227251
Fremont,0,1,-,20250321,That Thing,1807227251
Fukuoka,0,1,-,20250321,That Thing,1807227251
Glenwood Springs,0,1,-,20250321,That Thing,1807227251
Havelock,0,1,-,20250321,That Thing,1807227251
Helena,0,1,-,20250321,That Thing,1807227251
Indianapolis,0,1,-,20250321,That Thing,1807227251
Johnstown,0,1,-,20250321,That Thing,1807227251
Kalispell,0,1,-,20250321,That Thing,1807227251
Lancaster,0,1,-,20250321,That Thing,1807227251
Lansing,0,1,-,20250321,That Thing,1807227251
Linz,0,1,-,20250321,That Thing,1807227251
Madison,0,1,-,20250321,That Thing,1807227251
Miami,0,1,-,20250321,That Thing,1807227251
Milwaukee,0,1,-,20250321,That Thing,1807227251
Monterrey,0,1,-,20250321,That Thing,1807227251
Montréal,0,1,-,20250321,That Thing,1807227251
New Orleans,0,1,-,20250321,That Thing,1807227251
Newport News,0,1,-,20250321,That Thing,1807227251
Norfolk,0,1,-,20250321,That Thing,1807227251
Ogden,0,1,-,20250321,That Thing,1807227251
Oklahoma City,0,1,-,20250321,That Thing,1807227251
Olean,0,1,-,20250321,That Thing,1807227251
Oshawa,0,1,-,20250321,That Thing,1807227251
Ottawa,0,1,-,20250321,That Thing,1807227251
Phoenix,0,1,-,20250321,That Thing,1807227251
Portsmouth,0,1,-,20250321,That Thing,1807227251
Prince George,0,1,-,20250321,That Thing,1807227251
Regina,0,1,-,20250321,That Thing,1807227251
Rock Hill,0,1,-,20250321,That Thing,1807227251
Rodez,0,1,-,20250321,That Thing,1807227251
